"","class","family","species","angle","mimicType","right","wrong","numPhotos","accuracy"
"51","Arachnida","Corinnidae","Aetius nocturnus","Dorsal","mimic",31,4,1,0.885714285714286
"93","Arachnida","Corinnidae","Battalus byrneae","Anterior","non-mimic",62,1,1,0.984126984126984
"94","Arachnida","Corinnidae","Castineira cingulata","Anterior","non-mimic",54,0,1,1
"53","Arachnida","Corinnidae","Castineira cingulata","Dorsal","mimic",54,2,1,0.964285714285714
"101","Arachnida","Corinnidae","Copa kabana","Dorsal","non-mimic",58,0,1,1
"42","Arachnida","Corinnidae","Corrinnomma sp.","Anterior","mimic",44,8,1,0.846153846153846
"54","Arachnida","Corinnidae","Corrinnomma sp.","Dorsal","mimic",44,1,1,0.977777777777778
"74","Arachnida","Corinnidae","Corrinnomma sp.","Lateral","mimic",35,18,1,0.660377358490566
"102","Arachnida","Corinnidae","Disnyssus judidenchae","Dorsal","non-mimic",48,0,1,1
"106","Arachnida","Corinnidae","Iridonyssus formicans","Dorsal","non-mimic",62,0,1,1
"58","Arachnida","Corinnidae","Iridonyssus kohouti","Dorsal","mimic",52,3,1,0.945454545454545
"109","Arachnida","Corinnidae","Leichhardteus albofasciatus","Dorsal","non-mimic",42,0,1,1
"127","Arachnida","Corinnidae","Leichhardteus albofasciatus","Posterior","non-mimic",52,0,1,1
"110","Arachnida","Corinnidae","Leichhardteus conopalpis","Dorsal","non-mimic",60,0,1,1
"49","Arachnida","Corinnidae","Myrmecotypus rettenmeyeri","Anterior","mimic",25,25,1,0.5
"112","Arachnida","Corinnidae","Nyssus albopunctatus","Dorsal","non-mimic",53,0,1,1
"113","Arachnida","Corinnidae","Nyssus avidus","Dorsal","non-mimic",49,1,1,0.98
"114","Arachnida","Corinnidae","Nyssus coloripes","Dorsal","non-mimic",53,0,1,1
"87","Arachnida","Corinnidae","Nyssus coloripes","Lateral","mimic",59,2,1,0.967213114754098
"88","Arachnida","Corinnidae","Nyssus luteofinis","Lateral","mimic",91,11,2,0.892156862745098
"97","Arachnida","Corinnidae","Nyssus paradoxus","Anterior","non-mimic",49,3,1,0.942307692307692
"115","Arachnida","Corinnidae","Nyssus paradoxus","Dorsal","non-mimic",58,0,1,1
"116","Arachnida","Corinnidae","Nyssus supunnoides","Dorsal","non-mimic",49,1,1,0.98
"69","Arachnida","Corinnidae","Poecilipta sp1","Dorsal","mimic",95,6,1,0.940594059405941
"50","Arachnida","Corinnidae","Sphecotypus niger","Anterior","mimic",18,28,1,0.391304347826087
"72","Arachnida","Corinnidae","Sphecotypus niger","Dorsal","mimic",26,22,1,0.541666666666667
"103","Arachnida","Gnaphosidae","Eilica sp1","Dorsal","non-mimic",35,0,1,1
"123","Arachnida","Gnaphosidae","Eilica sp1","Lateral","non-mimic",35,0,1,1
"107","Arachnida","Lamponidae","Lamponid2 sp1","Dorsal","non-mimic",93,0,1,1
"124","Arachnida","Lamponidae","Lamponid2 sp1","Lateral","non-mimic",87,2,1,0.97752808988764
"108","Arachnida","Lamponidae","Lamponid4 sp1","Dorsal","non-mimic",105,0,1,1
"98","Arachnida","Salticidae","Abracadabrella elegans","Dorsal","non-mimic",56,0,1,1
"120","Arachnida","Salticidae","Abracadabrella elegans","Lateral","non-mimic",64,0,1,1
"126","Arachnida","Salticidae","Abracadabrella elegans","Posterior","non-mimic",54,3,1,0.947368421052632
"43","Arachnida","Salticidae","Cosmophasis bitaeniata","Anterior","mimic",37,3,1,0.925
"55","Arachnida","Salticidae","Cosmophasis bitaeniata","Dorsal","mimic",31,2,1,0.939393939393939
"75","Arachnida","Salticidae","Cosmophasis bitaeniata","Lateral","mimic",30,5,1,0.857142857142857
"57","Arachnida","Salticidae","Damoetas nitidus","Dorsal","mimic",50,5,1,0.909090909090909
"76","Arachnida","Salticidae","Damoetas nitidus","Lateral","mimic",57,1,1,0.982758620689655
"104","Arachnida","Salticidae","Helpis minitabunda","Dorsal","non-mimic",47,0,1,1
"44","Arachnida","Salticidae","Judalana lutea","Anterior","mimic",42,19,1,0.688524590163934
"59","Arachnida","Salticidae","Judalana lutea","Dorsal","mimic",32,8,1,0.8
