Unique ID,Unique qualifier,Species,Ant mimic?,Potential Source for image,Image found,Aspect,Sex,Notes,Done?,File,File exists?,"Adjustments (angle adjustments, interpolation)",Notes
JCS304,,Judalana lutea,Yes,Davies & Zabka 1989,,,,,,JCS304_dorsal_angle-adjust.jpg,,,
KWS605,,Ligonipes lacertosus,Yes,Davies & Zabka 1989,p201,Dorsal,Female,Drawing,Yes,KWS605_dorsal.jpg,,,
WWS101,,Ligonipes semitectus,Yes,Davies & Zabka 1989,p201,Dorsal,Female,Drawing,Yes,WWS101_dorsal.jpg,,,
JMS108,,Damoetas nitidus,Yes,Davies & Zabka 1989 or Jims' images,p204,Dorsal,Male,Drawing,Yes,JMS108_dorsal.jpg,,,
JMS111,,Judalana lutea,Yes,Jim's images,JMS111_Dorsal_85,Dorsal,Juvenile,Photo,Yes,JMS111_dorsal_angle_adjust.jpg,Yes,Angle adjusted,
MCZ16734,,Aetius nocturnus,Yes,Michael's images,Aetius_sp_dorsal_X50_photoshop2,Dorsal,Male,Photo,Yes,MCZ16734_dorsal.jpg,,,Specimen stored in ethanol; some deformation of opisthosoma
MCZ16734,,Aetius nocturnus,Yes,Michael's images,Aetius_sp_lateral_X50_photoshop3,Lateral,Male,Photo,Yes,MCZ16734_lateral_angle_adjust.jpg,,Angle adjusted,Specimen stored in ethanol; some deformation of opisthosoma
MCZ136939,,Castianeira cingulata,Yes,Michael's images or taxonomic paper,Castianeira_cingulata_dorsal_X50_image2,Dorsal,Male,Photo,Yes,MCZ136939_dorsal.jpg,,,
MCZ137106,,Castianeira gertschi,Yes,Michael's images or taxonomic paper,Castianeira_cingulata_lateral_X50_image2,Lateral,Male,Photo,Yes,MCZ137106_lateral.jpg,,,
MCZ126957,,Castianeira longipalpa,Yes,Michael's images or taxonomic paper,Castianeira_longipalpa_dorsal_X50_image2,Dorsal,Female,Photo,Yes,MCZ126957_dorsal.jpg,,,
MCZ126957,,Castianeira longipalpa,Yes,Michael's images or taxonomic paper,Castianeira_longipalpa_lateral_X50_image1,Lateral,Female,Photo,Yes,MCZ126957_lateral_interpolated.jpg,,Interpolated,
MCZ142573,,Castianeira trilineata,Yes,Michael's images or taxonomic paper,Castianeira_trilineata_dorsal_X50_image2,Dorsal,Female,Photo,Yes,MCZ142573_dorsal.jpg,,,
MCZ142573,,Castianeira trilineata,Yes,Michael's images or taxonomic paper,Castianeira_trilineata_lateral_X50_image2,Lateral,Female,Photo,Yes,MCZ142573_lateral_interpolated.jpg,,Interpolated,
MCZ95991,,Corinnomma sp.,Yes,Michael's images or taxonomic paper,Corinnomma_sp_dorsal_X50_photoshop,Dorsal,Male,Photo,Yes,MCZ95991_dorsal.jpg,,,Specimen deformed
MCZ95991,,Corinnomma sp.,Yes,Michael's images or taxonomic paper,Corinnomma_sp_lateral_X50_photoshop3,Lateral,Male,Photo,Yes,MCZ95991_lateral_angle_adjust.jpg,,Angle adjusted,Specimen deformed
MCZ79128,,Mazax pax,Yes,Michael's images or taxonomic paper,Mazax_pax_dorsal_X50_image2,Dorsal,Female,Photo,Yes,MCZ79128_dorsal.jpg,,,
MCZ79128,,Mazax pax,Yes,Michael's images or taxonomic paper,Mazax_pax_lateral_X50_image2,Lateral,Female,Photo,Yes,MCZ79128_lateral_interpolated.jpg,,Interpolated,
MCZ28153,,Mazax spinosa,Yes,Michael's images or taxonomic paper,Mazax_spinosa_dorsal_X50_image3,Dorsal,Female,Photo,Yes,MCZ28153_dorsal.jpg,,,
MCZ28153,,Mazax spinosa,Yes,Michael's images or taxonomic paper,Mazax_spinosa_lateral_X50_image2,Lateral,Female,Photo,Yes,MCZ28153_lateral.jpg,,,
MCZ67875,,Myrmecotypus rettenmeyeri,Yes,Michael's images or taxonomic paper,Myrmecotypus_rettenmeyeri_dorsal_X50_photoshop,Dorsal,Female,Photo,Yes,MCZ67875_dorsal_interpolated.jpg,,Interpolated,
MCZ67875,,Myrmecotypus rettenmeyeri,Yes,Michael's images or taxonomic paper,Myrmecotypus_rettenmeyeri_lateral_X50_photoshop4,Lateral,Female,Photo,Yes,MCZ67875_lateral.jpg,,,
MCZ34637,,Paradiestus giganteus,Yes,Michael's images or taxonomic paper,,,,,,MCZ34637.jpg,No,,No full images available
MCZ96085,,Serendib suthepica,Yes,Michael's images or taxonomic paper,Serendib_suthepica_dorsal_X50_image2,Dorsal,Male,Photo,Yes,MCZ96085_dorsal.jpg,,,
MCZ96085,,Serendib suthepica,Yes,Michael's images or taxonomic paper,Serendib_suthepica_lateral_X50_image2,Lateral,Male,Photo,Yes,MCZ96085_lateral_interpolated_angle_adjust.jpg,,"Interpolated, angle adjusted",
MCZ44162,,Serendib volans,Yes,Michael's images or taxonomic paper,Serendib_volans_dorsal_X50_image2,Dorsal,Female,Photo,Yes,MCZ44162_dorsal.jpg,,,
MCZ44162,,Serendib volans,Yes,Michael's images or taxonomic paper,Serendib_volans_lateral_X50_image3,Lateral,Female,Photo,Yes,MCZ44162_lateral_angle_adjust_deformed.jpg,,Angle adjusted,Specimen deformed
MCZ28119,,Sphecotypus niger,Yes,Michael's images or taxonomic paper,Sphecotypus_niger_dorsal_X50_photoshop2,Dorsal,Female,Photo,Yes,MCZ28119_dorsal_angle_adjust.jpg,,Angle adjusted,
MCZ28119,,Sphecotypus niger,Yes,Michael's images or taxonomic paper,Sphecotypus_niger_lateral_X50_photoshop4,Lateral,Female,Photo,Yes,MCZ28119_lateral_angle_adjust.jpg,,Angle adjusted,
MCZ126911,,Neon nellii*,Yes,Michael's images or taxonomic paper,Neon_nellii_dorsal_X50_image1,Dorsal,Female,Photo,Yes,MCZ126911_dorsal_angle_adjust.jpg,,Angle adjusted,
MCZ126911,,Neon nellii*,Yes,Michael's images or taxonomic paper,Neon_nellii_lateral_X50_image1,Lateral,Female,Photo,Yes,MCZ126911_lateral_interpolated_angle_adjust.jpg,Yes,"Angle adjusted, interpolated",
CRS101,,Myrmarachne formicaria,Yes,Michael's images or taxonomic paper,CRS101_dorsal_photo2,Dorsal,Male,Photo,Yes,CRS101_dorsal.jpg,,,
CRS101,,Myrmarachne formicaria,Yes,Michael's images or taxonomic paper,CRS101_lateral_photo2,Lateral,Male,Photo,Yes,CRS101_lateral_interpolated_angle_adjust.jpg,,"Angle adjusted, interpolated",
MCZ125078,,Myrmapeni chickeringi,Yes,Michael's images or taxonomic paper,Myrmarachne_chickeringi_dorsal_X100_image1,Dorsal,Male,Photo,Yes,MCZ125078_dorsal.jpg,,,
MCZ125078,,Myrmapeni chickeringi,Yes,Michael's images or taxonomic paper,Myrmarachne_chickeringi_lateral_X100_image1,Lateral,Male,Photo,Yes,MCZ125078_lateral_interpolated.jpg,,Interpolated,
MCZ93522,,Myrmapana centralis,Yes,Michael's images or taxonomic paper,Myrmarachne_centralis_dorsal_X50_image2,Dorsal,Female,Photo,Yes,MCZ93522_dorsal.jpg,,,
MCZ93522,,Myrmapana centralis,Yes,Michael's images or taxonomic paper,Myrmarachne_centralis_lateral_X50_image1,Lateral,Female,Photo,Yes,MCZ93522_lateral_angle_adjust_deformed.jpg,,Angle adjusted,Specimen deformed
MCZ108610,,Myrmapana parallela,Yes,Michael's images or taxonomic paper,Myrmarachne_parallela_dorsal_X50_image2,Dorsal,Male,Photo,Yes,MCZ108610_dorsal_angle_adjust_interpolated_deformed.jpg,Yes,"Angle adjusted, interpolated",Specimen deformed
MCZ108610,,Myrmapana parallela,Yes,Michael's images or taxonomic paper,Myrmarachne_parallela_lateral_X50_image2,Lateral,Male,Photo,Yes,MCZ108610_lateral_interpolated.jpg,,Interpolated,
MCZ128934,,Myrmaplata plataleoides,Yes,Michael's images or taxonomic paper,Myrmarachne_plataleoides_dorsal_X50_photoshop,Dorsal,Male,Photo,Yes,MCZ128934_dorsal.jpg,,,
MCZ128934,,Myrmaplata plataleoides,Yes,Michael's images or taxonomic paper,Myrmarachne_plataleoides_lateral_X50_photoshop2,Lateral,Male,Photo,Yes,MCZ128934_lateral_angle_adjust.jpg,,Angle adjusted,
MUS401,a,Myrmarachne luctuosa,Yes,Pekar et al. 2017,p656,Dorsal,Male,Photo,Yes,MUS401_a_dorsal.jpg,,,Forma aurea
MUS401,b,Myrmarachne luctuosa,Yes,Pekar et al. 2017,p656,Lateral,Male,Photo,Yes,MUS401_b_lateral_interpolated.jpg,,Interpolated,Forma aenopilosa
MUS401,c,Myrmarachne luctuosa,Yes,Pekar et al. 2017,p656,Dorsal,Female,Photo,Yes,MUS401_c_dorsal_angle_adjust.jpg,,Angle adjusted,Forma aenopilosa
MUS401,d,Myrmarachne luctuosa,Yes,Pekar et al. 2017,p656,Lateral,Female,Photo,Yes,MUS401_d_lateral_interpolated.jpg,,Interpolated,Forma aenopilosa
JMS115,a,Myrmarachne erythrocephala,Yes,Pekar et al. 2017,p651,Dorsal,Female,Photo,Yes,JMS115_a_dorsal.jpg,,,Forma erato
JMS115,b,Myrmarachne erythrocephala,Yes,Pekar et al. 2017,p651,Dorsal,Male,Photo,Yes,JMS115_b_dorsal_angle_adjust.jpg,,Angle adjusted,Forma ornata
JMS115,c,Myrmarachne erythrocephala,Yes,Pekar et al. 2017,p651,Dorsal,Male,Photo,Yes,JMS115_c_dorsal_angle_adjust.jpg,,Angle adjusted,Forma daemeli
JMS115,d,Myrmarachne erythrocephala,Yes,Pekar et al. 2017,p651,Dorsal,Female,Photo,Yes,JMS115_d_dorsal.jpg,,,Forma ornata
JMS116,e,Myrmarachne erythrocephala,Yes,Pekar et al. 2017,p651,Lateral,Male,Photo,Yes,JMS116_e_lateral_interpolated.jpg,,interpolated,Forma erato
JMS117,g,Myrmarachne erythrocephala,Yes,Pekar et al. 2017,p651,Lateral,Female,Photo,Yes,JMS117_g_lateral.jpg,,,Forma erato
JCS303,,Myrmarachne bicolor,Yes,,,,,Photo,,JCS303.jpg,No,,
JMS120,a,Myrmarachne macleayana,Yes,Pekar et al. 2017,p662,Dorsal,Male,Photo,Yes,JMS120_a_dorsal.jpg,,,Forma robsoni
JMS120,b,Myrmarachne macleayana,Yes,Pekar et al. 2017,p662,Dorsal,Male,Photo,Yes,JMS120_b_dorsal.jpg,,,Forma foreli
JMS120,c,Myrmarachne macleayana,Yes,Pekar et al. 2017,p662,Dorsal,Female,Photo,Yes,JMS120_c_dorsal_interpolated.jpg,,Interpolated,Forma robsoni
JMS120,d,Myrmarachne macleayana,Yes,Pekar et al. 2017,p662,Dorsal,Female,Photo,Yes,JMS120_d_dorsal_angle_adjust.jpg,,Angle adjusted,Forma foreli
JMS120,f,Myrmarachne macleayana,Yes,Pekar et al. 2017,p662,Lateral,Male,Photo,Yes,JMS120_f_lateral_interpolated.jpg,,Interpolated,Forma robsoni
JMS120,g,Myrmarachne macleayana,Yes,Pekar et al. 2017,p662,Lateral,Female,Photo,Yes,JMS120_g_lateral_interpolated.jpg,,Interpolated,Forma robsoni
TPS103,a,Myrmarachne helensmithae,Yes,Pekar et al. 2017,p653,Dorsal,Male,Photo,Yes,TPS103_a_dorsal_angle_adjust.jpg,,Angle adjusted,
TPS103,b,Myrmarachne helensmithae,Yes,Pekar et al. 2017,p653,Lateral,Male,Photo,Yes,TPS103_b_lateral_interpolated.jpg,,Interpolated,
TPS103,c,Myrmarachne helensmithae,Yes,Pekar et al. 2017,p653,Dorsal,Female,Photo,Yes,TPS103_c_dorsal.jpg,,,
TPS103,d,Myrmarachne helensmithae,Yes,Pekar et al. 2017,p653,Lateral,Female,Photo,Yes,TPS103_d_lateral_interpolated.jpg,,Interpolated,
TPS104,a,Myrmarachne macaulayi,Yes,Pekar et al. 2017,p659,Dorsal,Male,Photo,Yes,TPS104_a_dorsal.jpg,,,
TPS104,b,Myrmarachne macaulayi,Yes,Pekar et al. 2017,p659,Lateral,Male,Photo,Yes,TPS104_b_lateral_angle_adjust.jpg,,Angle adjusted,
TPS104,c,Myrmarachne macaulayi,Yes,Pekar et al. 2017,p659,Dorsal,Female,Photo,Yes,TPS104_c_dorsal.jpg,,,
TPS104,d,Myrmarachne macaulayi,Yes,Pekar et al. 2017,p659,Lateral,Female,Photo,Yes,TPS104_d_lateral_interpolated_angle_adjust.jpg,,"Interpolated, angle adjusted",
TPS307,,Myrmarachne smaragdina,Yes,,,,,Photo,,TPS307.jpg,No,,
Q00002,,Battalus byrneae,Yes,Raven 2015,p45,Dorsal,Male,Only partial images,Yes,Q00002_dorsal_interpolated.jpg,,Interpolated,
Q00013,,Copa kabana,Yes,Raven 2015,p69,Dorsal,Male,Photo,Yes,Q00013_dorsal_interpolated.jpg,Yes,Interpolated,
Q87362,,Creugas gulosus,Yes,Raven 2015,p25,Dorsal,Female,Photo,Yes,Q87362_dorsal.jpg,,,
Q80326,,Disnyssus helenmirrenae,Yes,Raven 2015,p37,Dorsal,/,Drawing,Yes,Q80326_dorsal.jpg,,,
Q80326,b,Disnyssus helenmirrenae,Yes,Raven 2015,p71,Dorsal,,Photo,Yes,Q80326_b_dorsal_interpolated.jpg,,Interpolated,
Q84598,,Iridonyssus formicans,Yes,Raven 2015,p86,Dorsal,Male,Photo,Yes,Q84598_dorsal.jpg,,,
Q84598,b,Iridonyssus formicans,Yes,Raven 2015,p86,Dorsal,Female,Photo,Yes,Q84598_b_dorsal.jpg,,,
JMS109,,Iridonyssus kohouti,Yes,Raven 2015 or Jim's Images,p75,Dorsal,Female,Photo,Yes,JMS109 Iridonyssus kohouti Raven 2015 p75 Dorsal Female Photo.jpg,Yes,,not Jim's image - Code ok?
Q00014,,Leichhardteus albofasciatus,Yes,Raven 2015,p103,Dorsal,Female,Photo,Yes,Q00014_dorsal_interpolated.jpg,,Interpolated,
