"angle","species","sex","notes","other","specimenId","mimicType","sampleSize","accuracy"
"Dorsal","Vespoidea2 sp1","","","Ant mimic","1","mimetic insect",1,0.999833652709037
"Dorsal","Myrmarachne luctuosa","","About 2m up tree, no ants visible nearby, died in care, opisthosoma dessicated","Ant mimic","12","mimetic spider",1,1.87712571659064e-14
"Dorsal","Froggattella sp1","","Abundant all around tree and on trunk","","13","model",1,1
"Dorsal","Cicadellid1 sp1","","","","14","non-mimic",1,4.68011192477282e-101
"Dorsal","Servaea incana","","","","15","non-mimic",1,2.51396919929907e-79
"Dorsal","Eurybrachyid1 sp1","","Length is excluding weird growths","","16","non-mimic",1,1.0208990789361e-60
"Dorsal","Servaea incana","","","","17","non-mimic",1,1.16994114448891e-70
"Dorsal","Formicid20 sp1","","","","21","model",1,1
"Dorsal","Lycosid3 sp1","","","","231","non-mimic",2,5.48652128284069e-32
"Dorsal","Tamopsis fickerti","","","","240","non-mimic",1,1.15808502720465e-124
"Dorsal","Lycosid4 sp1","","Decomposed","","249","non-mimic",1,2.66791458677457e-22
"Dorsal","Araneae11 sp1","","","","250","non-mimic",1,6.85436978951002e-25
"Dorsal","Lycosid4 sp1","","Maybe a mimic?","","258","non-mimic",1,1.90678598989996e-18
"Dorsal","Oxyopes elegans","","","","260","non-mimic",1,6.42307475934895e-38
"Dorsal","Helpis minitabunda","","Possible predator?","","266","non-mimic",1,9.81857748707409e-24
"Dorsal","Camponotus nigriceps","","","","267","model",1,1
"Dorsal","Araneae10 sp1","","","","270","non-mimic",1,6.2832054450297e-34
"Dorsal","Diptera1 sp1","","","Ant mimic","274","mimetic insect",1,1.50939726945627e-08
"Dorsal","Crematogaster sp1","","","","31","model",1,1
"Dorsal","Myrmarachne erythrocephala","","Found on sheet while sampling leaf litter, escaped from care","Ant mimic","346","mimetic spider",1,7.4625679715504e-14
"Dorsal","Myrmarachne luctuosa","","On trunk of tree","Ant mimic","380","mimetic spider",1,9.86124617634513e-18
"Dorsal","Coleoptera2 sp1","","On trunk of tree","Ant mimic","381","mimetic insect",1,0.999999097395428
"Dorsal","Polyrhachis sp2","","","","384","model",2,1
"Dorsal","Myrmarachne erythrocephala","","On trunk of tree near pitfall 8","Ant mimic","385","mimetic spider",1,0.678011030267606
"Dorsal","Myrmarachne luctuosa","Male","On trunk. Killed by freezing. Its opisthosoma ruptured after manipulation for photos on a hot day.
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic","386","mimetic spider",5,6.42435217354466e-08
"Dorsal","Myrmarachne luctuosa","","Pickled 31-Jan-2017 in 96% ethanol.
Seems to have lateral white stripe on abdomen like erythrocephala but gold looks like luctuosa.","Ant mimic","387","mimetic spider",2,4.00571510139608e-08
"Dorsal","Myrmarachne luctuosa","Male","Found in location with lots of Dolichoderus clarki, although they weren't on the same tree. 
Died 30-Jan-2017. 
Pickled in 96% ethanol","Ant mimic","388","mimetic spider",2,4.06594570135091e-15
"Dorsal","Eurymela rubrolimbata (juvenile)","","23-1-17 10:30am Died under spectroscope. Asphyxiated by glad-wrap? Squashed?
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic bug","393","mimetic insect",2,2.60281183026477e-64
"Dorsal","Eurymela rubrolimbata","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","394","non-mimic",1,1.71173035989989e-104
"Dorsal","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","397","mimetic spider",2,5.7360187863114e-30
"Dorsal","Amyciaea albomaculata","","Purchased spider","Ant-mimic spider","398","mimetic spider",1,2.51198841720282e-10
"Dorsal","Amyciaea albomaculata","","Purchased spider. 
Died 20-Jan-2017. 
Pickled in 96% ethanol","Ant mimic","399","mimetic spider",1,1.0591747187935e-12
"Dorsal","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","400","mimetic spider",2,1.14597541895504e-18
"Dorsal","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","401","mimetic spider",2,3.25910630323852e-27
"Dorsal","Myrmarachne smaragdina","Male","","Photo","4012","mimetic spider",1,0.85248552073449
"Dorsal","Myrmarachne smaragdina","Male","","Photo; Angle adjusted","4013","mimetic spider",1,0.977598315482596
"Dorsal","Myrmarachne smaragdina","Female","","Photo; Angle adjusted","4028","mimetic spider",1,7.00725276896169e-07
"Dorsal","Myrmarachne smaragdina","Female","","Photo","4029","mimetic spider",1,0.997908455090709
"Dorsal","Myrmarachne smaragdina","Female","","Photo; Angle adjusted","4033","mimetic spider",1,0.000220984079842253
"Dorsal","Coleoptera3 sp1","","Found by Alex.
Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic beetle","404","mimetic insect",1,0.999999262313457
"Dorsal","Daerlac apicalis","","It was walking around on the ground. Never attempted to fly.","Ant mimic bug","405","mimetic insect",1,6.58359871261427e-32
"Dorsal","Poecilipta contorqua","Male","Stano Pekar says it may be Nyssus. sp
Poecilipta lugubris or similar.
Id'ed by Aus Mus (Helen Smith or Graham Milledge) as Poecilipta contorqua.
Noticed running around _fast_ on the ground. Dolichoderus scabridus a possible model - similar body and legs colours,
14 Feb 2017 - knocked out with CO2, then pickled in 96% ethanol.","Ant mimic spider","410","mimetic spider",2,1.24884618473476e-13
"Dorsal","Dolichoderus clarki","","","","412","model",4,0.999610536881701
"Dorsal","Eurymela rubrolimbata (juvenile)","","Pickled in 96% ethanol 20-Feb-2017","Ant mimic bug","414","mimetic insect",1,3.48398732036282e-66
"Dorsal","Vespoidea3 sp1","","Collected thinking it was an ant
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic wasp","416","mimetic insect",1,0.999974727249097
"Dorsal","Leptomyrmex sp1","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","419","model",1,1
"Dorsal","Eurymela rubrolimbata","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","421","non-mimic",2,8.61223472243281e-79
"Dorsal","Eurymela rubrolimbata (juvenile)","","Early instar without gold colouration. 
Died in captivity,11 Feb 2017.
Frozen 19-Feb-2017
Pickled in 96% ethanol 20-Feb-2017","Ant mimic hopper","423","mimetic insect",1,5.76967743761315e-93
"Dorsal","Myrmarachne erythrocephala","","On a tree with lots of Dolichoderus clarki and Eurymela hoppers.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.
ID uncertain, looks different than all others.
","Ant-mimic spider","424","mimetic spider",2,5.39430151094976e-07
"Dorsal","Apricia jovialis","","Colouration is similar to Dolichoderus scabridus.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.","","426","non-mimic",2,1.36524869570029e-25
"Dorsal","Vespoidea4 sp1","","Walking on tree trunk, looked like an ant except it moved slightly differently
Pickled in 96% ethanol 1-Mar-2017","","430","non-mimic",1,1.72232985117114e-20
"Dorsal","Odontomachus sp1","","Spectra recorded
Pickled in 96% ethanol 29-Mar-2017.","","433","model",2,1
"Dorsal","Riptortus abdominalis (juvenile)","","Mimic of Oecophylla","Ant mimic bug","434","mimetic insect",1,0.000171153408493018
"Dorsal","Damoetas sp (?)","Male","","Photo","4358","mimetic spider",1,3.37932094691382e-08
"Dorsal","Mantid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","","437","non-mimic",1,3.38981249806767e-33
"Dorsal","Formicid19 sp1","","Pickled in 96% ethanol 29-Mar-2017.
Probably in Ectaheteromorph group (Ectatomma,Heteroponera,Rhytidoponera, Gnaptogenys,etc.)","","438","model",1,1
"Dorsal","Alydid3 sp1","","","Ant mimic bug","444","mimetic insect",2,0.00315835334178961
"Dorsal","Alydid2 sp1","","","","446","non-mimic",2,2.16915788021799e-12
"Dorsal","Mantid2 sp1","","Mimic of large red Rhytidoponera (according to Chris Burnell, ant taxonomist)","","454","non-mimic",1,9.02131403018894e-07
"Dorsal","Cosmophasis thalassina","","Pickled in 96% ethanol 29-Mar-2017.","","457","non-mimic",2,8.53909422022711e-33
"Dorsal","Ligonipes sp1","","Collected by Barbara Baehr.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","458","mimetic spider",1,2.72283368932334e-08
"Dorsal","Damoetas sp1","","Undescribed species. Damoetas are considered to be ant mimics, but this doesn't look like one, except perhaps for the antennal illusion. Speedy runner. ","","459","non-mimic",2,1.13441442138336e-16
"Dorsal","Riptortus abdominalis (juvenile)","","Multiple photos in different environments to compare morphometric precision. Later instar possibly mimicking queen.
Pickled in 96% ethanol 29-Mar-2017.","Ant mimic bug","462","mimetic insect",3,1.49556852664844e-09
"Dorsal","Corinnid1 sp1","","Looks like a strobe ant (Opisthopsis sp).
Found by sweeping.","Possible ant-mimic spider","469","mimetic spider",2,7.86411705399414e-19
"Dorsal","Cosmophasis bitaeniata","","","Ant-mimic spider","473","mimetic spider",2,7.6771540098433e-14
"Dorsal","Myrmarachne luctuosa","","Stored in 80% ethanol to match specimens in RNAlater.
TODO check ID","Ant-mimic spider","475","mimetic spider",2,1.62083699433041e-08
"Dorsal","Myrmarachne macleayana","","Id uncertain, golden bum + no abdominal constriction.","Ant-mimic spider","479","mimetic spider",2,7.35988244470524e-26
"Dorsal","Riptortus abdominalis (juvenile)","","Pickled in 96% ethanol 29-Mar-2017.","Ant mimic bug","487","mimetic insect",2,1.01349574502302e-06
"Dorsal","Reduviid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","Ant mimic bug","488","mimetic insect",2,2.46630858834404e-07
"Dorsal","Corinnid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","489","mimetic spider",2,5.73749076921103e-18
"Dorsal","Reduviid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","Ant mimic bug","490","mimetic insect",2,1
"Dorsal","Cosmophasis bitaeniata","","In 80% ethanol to match specimens in RNAlater","Ant-mimic spider","492","mimetic spider",2,6.66265946345312e-32
"Dorsal","Riptortus abdominalis (juvenile)","","Appears to mimic green ant queen.
Pickled in 96% ethanol 29-Mar-2017.","Ant mimic bug","493","mimetic insect",4,1.31088673737647e-08
"Dorsal","Riptortus abdominalis","","Pickled in 96% ethanol 29-Mar-2017.","","494","non-mimic",2,5.4482237814477e-08
"Dorsal","Amyciaea albomaculata","","","Ant-mimic spider","499","mimetic spider",2,1.56899112120879e-06
"Dorsal","Oecophylla smaragdina","","Legs removed from 1 specimen.
Pickled in 96% ethanol 29-Mar-2017.","","500","model",2,1
"Dorsal","Amyciaea albomaculata","","","Ant-mimic spider","502","mimetic spider",1,3.54833499522181e-12
"Dorsal","Amyciaea albomaculata","","","Ant-mimic spider","503","mimetic spider",2,4.62977593898786e-17
"Dorsal","Myrmarachne macleayana","","","Ant-mimic spider","505","mimetic spider",1,6.18371524869103e-11
"Dorsal","Cicadellid2 sp1","","I assumed it was an ant when I collected it.Same colour as attendant ants.
Pickled in 96% ethanol 29-Mar-2017.","","506","non-mimic",2,3.36065671069236e-113
"Dorsal","Myrmarachne erythrocephala","","Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","508","mimetic spider",2,0.999999733298119
"Dorsal","Opisthopsis sp1","","Pickled in 96% ethanol 29-Mar-2017.","","509","model",1,1
"Dorsal","Myandra bicincta","","Collected by Jonas under bark. Died because I froze it for too long.
Specimen broke apart.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","512","mimetic spider",2,4.01293607927148e-29
"Dorsal","Myandra bicincta","Male","Collected by Jonas under bark.
Pickled, 21-Apr-2017.","Ant-mimic spider","514","mimetic spider",2,7.57604731882354e-33
"Dorsal","Zodarid4 sp1","","Collected by Jonas under bark. Died.
Pickled in 96% ethanol, 27-Apr-2017","Ant-mimic spider","515","mimetic spider",2,5.70646600822374e-22
"Dorsal","Holoplatys sp4","","Juvenile? Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","518","mimetic spider",2,1.17718535881911e-14
"Dorsal","Myrmarachne juvenile","","Squashed while being captured.
Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","523","mimetic spider",2,0.00580754589297705
"Dorsal","Myrmarachne juvenile","","Possibly M. erythrocephala.
Died.
Pickled, 96% ethanol 27-Apr-2017","Ant-mimic spider","524","mimetic spider",2,2.66466572793449e-24
"Dorsal","Salticid5 sp1","","","","53","non-mimic",1,9.32351741648675e-22
"Dorsal","Hemiptera1 sp1","","Pickled, 21-Apr-2017.","Ant mimic bug","531","mimetic insect",1,0.934159379841141
"Dorsal","Myrmarachne erythrocephala","","Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","535","mimetic spider",3,3.89861850026765e-06
"Dorsal","Vespoidea5 sp1","","Pickled, 21-Apr-2017.
Looks very similar to Polyrhachis hookeri.","Posssible wasp ant-mimic","536","mimetic insect",2,9.15799031284565e-09
"Dorsal","Formicid1 sp1","","Pickled, 21-Apr-2017.","","537","model",3,0.999999999988786
"Dorsal","Tinytrema bondi","","","Ant-mimic spider","538","mimetic spider",1,0.946560300799966
"Dorsal","Zillimata scintillans","Male","Behavioural ant mimic","","539","non-mimic",1,2.46880834957017e-18
"Dorsal","Thomisid1 sp1","","","","54","non-mimic",1,7.16474693263267e-73
"Dorsal","Ligonipes sp2","Male","","Ant-mimic spider","540","mimetic spider",1,1.03339711496063e-08
"Dorsal","Ligonipes sp2","Male","","Ant-mimic spider","541","mimetic spider",1,1.27856819000831e-06
"Dorsal","Ligonipes sp2","Male","","Ant-mimic spider","542","mimetic spider",1,1.05403286386326e-09
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","543","mimetic spider",1,1.13712732900683e-07
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","544","mimetic spider",1,3.58921928807841e-14
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","545","mimetic spider",1,0.781707856191366
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","546","mimetic spider",1,4.55451253585259e-11
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","547","mimetic spider",1,8.62962977437725e-10
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","548","mimetic spider",1,0.00367085046034735
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","549","mimetic spider",1,6.74609824633187e-23
"Dorsal","Myrmarachne luctuosa","","Identified as Myrmarachne simoni (L. Koch, 1879) by the Aus museum, which is now considered a synonym of M Luctuosa.","Ant-mimic spider","550","mimetic spider",1,2.40104912507632e-16
"Dorsal","Judalana lutea","Female","","Ant-mimic spider","551","mimetic spider",1,3.92910957635462e-21
"Dorsal","Storena mainae","male","","","552","non-mimic",1,9.36668673126589e-22
"Dorsal","Storena mainae","Male","","","553","non-mimic",1,6.48654257751406e-22
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","554","mimetic spider",1,3.27752126242402e-06
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","555","mimetic spider",1,1.4394428690197e-15
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","556","mimetic spider",1,2.13592563183416e-28
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","557","mimetic spider",1,4.79941431594412e-08
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","558","mimetic spider",1,8.22156628709311e-11
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","559","mimetic spider",1,2.72619625274476e-46
"Dorsal","Astia hariola","Male","Found under loose bark. Is the golden bum very crude mimicry?
Pickled in 70% ethanol, 20-Jul-2017.","","560","non-mimic",2,6.59928658578997e-23
"Dorsal","Myrmarachne luctuosa","","Very ant-like - it even runs fast like a small black ant..
Died, so pickled in 96% ethanol, 1-May-2017","Ant-mimic spider","561","mimetic spider",3,2.90885455361409e-05
"Dorsal","Formicid1 sp1","","Pickled, 21-Apr-2017.","","563","model",2,1
"Dorsal","Myrmarachne luctuosa","Male","Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","564","mimetic spider",3,2.50341595498669e-08
"Dorsal","Polyrhachis ammon","","Pickled, 21-Apr-2017.","","565","model",3,1
"Dorsal","Myrmecia mandibularis","","Pickled, 21-Apr-2017.","","566","model",2,1
"Dorsal","Rhytidoponera metallica","","Pickled, 21-Apr-2017.","","567","model",2,1
"Dorsal","Crematogaster sp1","","Pickled, 21-Apr-2017.","","568","model",2,1
"Dorsal","Myrmarachne erythrocephala","","Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","577","mimetic spider",2,6.81486770216681e-09
"Dorsal","Vespoidea6 sp1","","Pickled, 21-Apr-2017.","Ant-mimic wasp","579","mimetic insect",2,1
"Dorsal","Salticid7 sp1","","","","58","non-mimic",1,7.22153301126787e-36
