"angle","species","sex","notes","other","specimenId","mimicType","sampleSize","accuracy"
"Lateral","Diptera3 sp1","","","","18","non-mimic",1,1.16823924828833e-65
"Lateral","Insecta1 sp1","","","","19","non-mimic",1,1.13991798031795e-18
"Lateral","Rhytidoponera metallica","","","","204","model",3,0.999999999999997
"Lateral","Crematogaster sp1","","","","23","model",1,1
"Lateral","Isopoda1 sp1","","","","242","non-mimic",1,1.14631378988811e-55
"Lateral","Gryllid1 sp1","","","","243","non-mimic",1,1.77496978956904e-34
"Lateral","Tapinoma sp1","","","","244","model",1,1
"Lateral","Froggattella sp1","","","","248","model",1,1
"Lateral","Polyrhachis ammon","","","","256","model",1,1
"Lateral","Oxyopes elegans","","","","260","non-mimic",1,2.87031882005886e-172
"Lateral","Camponotus nigriceps","","","","267","model",1,1
"Lateral","Camponotus nigriceps","","","","289","model",1,1
"Lateral","Stigmacros sp1","","","","3","model",1,0.999999999987369
"Lateral","Polyrhachis sp1","","","","309","model",1,1
"Lateral","Camponotus sp2","","","","310","model",1,1
"Lateral","Tapinoma sp1","","","","319","model",1,1
"Lateral","Myrmarachne erythrocephala","","Found on sheet while sampling leaf litter, escaped from care","Ant mimic","346","mimetic spider",1,7.95517154663739e-14
"Lateral","Notoncus sp1","","","","370","model",1,1
"Lateral","Myrmarachne luctuosa","","On trunk of tree","Ant mimic","380","mimetic spider",1,2.00302698067703e-48
"Lateral","Coleoptera2 sp1","","On trunk of tree","Ant mimic","381","mimetic insect",1,9.58180689290726e-45
"Lateral","Myrmarachne luctuosa","","On trunk at base of tree, no ants within sight of spider.
Id uncertain, seems to have black transverse stripes of erythrocephala, but white stripe is wide like luctuosa.","Ant mimic","383","mimetic spider",1,2.69040416946215e-41
"Lateral","Polyrhachis sp2","","","","384","model",1,1
"Lateral","Myrmarachne erythrocephala","","On trunk of tree near pitfall 8","Ant mimic","385","mimetic spider",1,8.12487500646011e-18
"Lateral","Myrmarachne luctuosa","Male","On trunk. Killed by freezing. Its opisthosoma ruptured after manipulation for photos on a hot day.
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic","386","mimetic spider",5,1.12371443800513e-19
"Lateral","Myrmarachne luctuosa","","Pickled 31-Jan-2017 in 96% ethanol.
Seems to have lateral white stripe on abdomen like erythrocephala but gold looks like luctuosa.","Ant mimic","387","mimetic spider",2,1.08955145509994e-11
"Lateral","Myrmarachne luctuosa","Male","Found in location with lots of Dolichoderus clarki, although they weren't on the same tree. 
Died 30-Jan-2017. 
Pickled in 96% ethanol","Ant mimic","388","mimetic spider",2,2.42558676683596e-20
"Lateral","Dolichoderus clarki","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","390","model",2,1
"Lateral","Eurymela rubrolimbata (juvenile)","","23-1-17 10:30am Died under spectroscope. Asphyxiated by glad-wrap? Squashed?
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic bug","393","mimetic insect",2,4.54258598173667e-47
"Lateral","Eurymela rubrolimbata","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","394","non-mimic",1,1.24372376649518e-36
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","397","mimetic spider",1,1.56153660456623e-45
"Lateral","Amyciaea albomaculata","","Purchased spider","Ant-mimic spider","398","mimetic spider",1,2.41456500145232e-25
"Lateral","Amyciaea albomaculata","","Purchased spider. 
Died 20-Jan-2017. 
Pickled in 96% ethanol","Ant mimic","399","mimetic spider",1,4.75128954687001e-44
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","400","mimetic spider",2,1.65809795474639e-77
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","401","mimetic spider",2,1.10404217466222e-34
"Lateral","Myrmarachne smaragdina","Male","","Photo; Interpolated","4014","mimetic spider",1,4.56150077284178e-07
"Lateral","Myrmarachne smaragdina","Male","","Photo; Angle adjusted","4015","mimetic spider",1,1.5479957625518e-05
"Lateral","Myrmarachne smaragdina","Female","","Photo; Interpolated","4030","mimetic spider",1,1.14518281227824e-06
"Lateral","Myrmarachne smaragdina","Female","","Photo; Angle adjusted","4034","mimetic spider",1,3.13201553506791e-05
"Lateral","Myrmarachne smaragdina","Female","","Photo","4035","mimetic spider",1,3.14848325069394e-09
"Lateral","Myrmarachne smaragdina","Female","","Photo; Interpolated","4036","mimetic spider",1,4.66301603488058e-11
"Lateral","Coleoptera3 sp1","","Found by Alex.
Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic beetle","404","mimetic insect",1,1.28877806661099e-45
"Lateral","Daerlac apicalis","","It was walking around on the ground. Never attempted to fly.","Ant mimic bug","405","mimetic insect",1,9.41878493187493e-44
"Lateral","Poecilipta contorqua","Male","Stano Pekar says it may be Nyssus. sp
Poecilipta lugubris or similar.
Id'ed by Aus Mus (Helen Smith or Graham Milledge) as Poecilipta contorqua.
Noticed running around _fast_ on the ground. Dolichoderus scabridus a possible model - similar body and legs colours,
14 Feb 2017 - knocked out with CO2, then pickled in 96% ethanol.","Ant mimic spider","410","mimetic spider",2,7.21595848869957e-21
"Lateral","Dolichoderus clarki","","","","412","model",2,1
"Lateral","Vespoidea3 sp1","","Collected thinking it was an ant
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic wasp","416","mimetic insect",1,4.15264185762739e-11
"Lateral","Leptomyrmex sp1","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","419","model",1,0.99999973046625
"Lateral","Eurymela rubrolimbata (juvenile)","","Early instar without gold colouration. 
Died in captivity,11 Feb 2017.
Frozen 19-Feb-2017
Pickled in 96% ethanol 20-Feb-2017","Ant mimic hopper","423","mimetic insect",1,4.75101554781491e-31
"Lateral","Myrmarachne erythrocephala","","On a tree with lots of Dolichoderus clarki and Eurymela hoppers.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.
ID uncertain, looks different than all others.
","Ant-mimic spider","424","mimetic spider",1,1.5313558699759e-15
"Lateral","Apricia jovialis","","Colouration is similar to Dolichoderus scabridus.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.","","426","non-mimic",2,2.22382879832443e-37
"Lateral","Vespoidea4 sp1","","Walking on tree trunk, looked like an ant except it moved slightly differently
Pickled in 96% ethanol 1-Mar-2017","","430","non-mimic",1,5.2718097884978e-13
