"angle","species","sex","notes","other","specimenId","mimicType","sampleSize","accuracy"
"Lateral","Diptera3 sp1","","","","18","non-mimic",1,1.01485910822553e-77
"Lateral","Insecta1 sp1","","","","19","non-mimic",1,1.12227383476995e-18
"Lateral","Rhytidoponera metallica","","","","204","model",3,1
"Lateral","Crematogaster sp1","","","","23","model",1,1
"Lateral","Isopoda1 sp1","","","","242","non-mimic",1,1.05919068645234e-56
"Lateral","Gryllid1 sp1","","","","243","non-mimic",1,2.9620682670352e-50
"Lateral","Tapinoma sp1","","","","244","model",1,1
"Lateral","Froggattella sp1","","","","248","model",1,1
"Lateral","Polyrhachis ammon","","","","256","model",1,1
"Lateral","Oxyopes elegans","","","","260","non-mimic",1,2.12107895428561e-175
"Lateral","Camponotus nigriceps","","","","267","model",1,1
"Lateral","Camponotus nigriceps","","","","289","model",1,1
"Lateral","Stigmacros sp1","","","","3","model",1,1
"Lateral","Polyrhachis sp1","","","","309","model",1,1
"Lateral","Camponotus sp2","","","","310","model",1,1
"Lateral","Tapinoma sp1","","","","319","model",1,1
"Lateral","Myrmarachne erythrocephala","","Found on sheet while sampling leaf litter, escaped from care","Ant mimic","346","mimetic spider",1,4.0852095566512e-12
"Lateral","Notoncus sp1","","","","370","model",1,1
"Lateral","Myrmarachne luctuosa","","On trunk of tree","Ant mimic","380","mimetic spider",1,7.17546085417732e-46
"Lateral","Coleoptera2 sp1","","On trunk of tree","Ant mimic","381","mimetic insect",1,1.5407282008748e-41
"Lateral","Myrmarachne luctuosa","","On trunk at base of tree, no ants within sight of spider.
Id uncertain, seems to have black transverse stripes of erythrocephala, but white stripe is wide like luctuosa.","Ant mimic","383","mimetic spider",1,1.1895158548572e-30
"Lateral","Polyrhachis sp2","","","","384","model",1,1
"Lateral","Myrmarachne erythrocephala","","On trunk of tree near pitfall 8","Ant mimic","385","mimetic spider",1,2.03404090564164e-11
"Lateral","Myrmarachne luctuosa","Male","On trunk. Killed by freezing. Its opisthosoma ruptured after manipulation for photos on a hot day.
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic","386","mimetic spider",5,4.1495761845649e-16
"Lateral","Myrmarachne luctuosa","","Pickled 31-Jan-2017 in 96% ethanol.
Seems to have lateral white stripe on abdomen like erythrocephala but gold looks like luctuosa.","Ant mimic","387","mimetic spider",2,1.00199307846869e-09
"Lateral","Myrmarachne luctuosa","Male","Found in location with lots of Dolichoderus clarki, although they weren't on the same tree. 
Died 30-Jan-2017. 
Pickled in 96% ethanol","Ant mimic","388","mimetic spider",2,6.8626239140392e-17
"Lateral","Dolichoderus clarki","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","390","model",2,1
"Lateral","Eurymela rubrolimbata (juvenile)","","23-1-17 10:30am Died under spectroscope. Asphyxiated by glad-wrap? Squashed?
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic bug","393","mimetic insect",2,3.5194848521376e-47
"Lateral","Eurymela rubrolimbata","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","394","non-mimic",1,5.11657967288042e-37
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","397","mimetic spider",1,7.1020620463228e-41
"Lateral","Amyciaea albomaculata","","Purchased spider","Ant-mimic spider","398","mimetic spider",1,4.57662347679014e-18
"Lateral","Amyciaea albomaculata","","Purchased spider. 
Died 20-Jan-2017. 
Pickled in 96% ethanol","Ant mimic","399","mimetic spider",1,2.79385666885665e-36
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","400","mimetic spider",2,1.42334465993873e-76
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","401","mimetic spider",2,9.87709437364385e-31
"Lateral","Myrmarachne smaragdina","Male","","Photo; Interpolated","4014","mimetic spider",1,0.992105885146477
"Lateral","Myrmarachne smaragdina","Male","","Photo; Angle adjusted","4015","mimetic spider",1,1
