"angle","file","species","specimenId","mimicType","accuracy"
"Lateral","../data/outlines/sampleIt\outline1cb03a04780f.jpg","Diptera3 sp1","18","non-mimic",3.49585300501603e-19
"Lateral","../data/outlines/sampleIt\outline1cb0418b1887.jpg","Insecta1 sp1","19","non-mimic",1.00436849385912e-06
"Lateral","../data/outlines/sampleIt\outline1cb025df6547.jpg","Rhytidoponera metallica","204","model",0.999995572891459
"Lateral","../data/outlines/sampleIt\outline1cb0237d2ec4.jpg","Crematogaster sp1","23","model",1
"Lateral","../data/outlines/sampleIt\outline1cb020a37594.jpg","Isopoda1 sp1","242","non-mimic",1.0154687729724e-15
"Lateral","../data/outlines/sampleIt\outline1cb09b2ec2.jpg","Gryllid1 sp1","243","non-mimic",3.89560052312783e-24
"Lateral","../data/outlines/sampleIt\outline1cb076b4f68.jpg","Tapinoma sp1","244","model",0.999999600286629
"Lateral","../data/outlines/sampleIt\outline1cb051337de0.jpg","Froggattella sp1","248","model",1
"Lateral","../data/outlines/sampleIt\outline1cb014d1bed.jpg","Polyrhachis ammon","256","model",1
"Lateral","../data/outlines/sampleIt\outline1cb06c603552.jpg","Oxyopes elegans","260","non-mimic",3.20862559256211e-38
"Lateral","../data/outlines/sampleIt\outline1cb04cdd3090.jpg","Camponotus nigriceps","267","model",0.999999999867175
"Lateral","../data/outlines/sampleIt\outline1cb04e2b3aa0.jpg","Camponotus nigriceps","289","model",1
"Lateral","../data/outlines/sampleIt\outline1cb05d367bb5.jpg","Stigmacros sp1","3","model",0.999999999289643
"Lateral","../data/outlines/sampleIt\outline1cb04f333d85.jpg","Polyrhachis sp1","309","model",1
"Lateral","../data/outlines/sampleIt\outline1cb05dd821e3.jpg","Camponotus sp2","310","model",0.999999999999989
"Lateral","../data/outlines/sampleIt\outline1cb01e5b6c5c.jpg","Tapinoma sp1","319","model",0.999999999999962
"Lateral","../data/outlines/sampleIt\outline1cb02b0e5f80.jpg","Myrmarachne erythrocephala","346","mimetic spider",1.72079401999553e-11
"Lateral","../data/outlines/sampleIt\outline1cb040531d71.jpg","Notoncus sp1","370","model",0.999999896408434
"Lateral","../data/outlines/sampleIt\outline1cb049a75944.jpg","Myrmarachne luctuosa","380","mimetic spider",1.48558000875433e-15
"Lateral","../data/outlines/sampleIt\outline1cb061df49e0.jpg","Coleoptera2 sp1","381","mimetic insect",6.29063490546462e-14
"Lateral","../data/outlines/sampleIt\outline1cb031592d51.jpg","Myrmarachne luctuosa","383","mimetic spider",1.6509456859777e-15
"Lateral","../data/outlines/sampleIt\outline1cb05cbd1961.jpg","Polyrhachis sp2","384","model",0.999999999999703
"Lateral","../data/outlines/sampleIt\outline1cb053171d8c.jpg","Myrmarachne erythrocephala","385","mimetic spider",2.86081257311829e-10
"Lateral","../data/outlines/sampleIt\outline1cb0207a6bf0.JPG","Myrmarachne luctuosa","386","mimetic spider",1.69847592558811e-08
"Lateral","../data/outlines/sampleIt\outline1cb067426fe8.JPG","Myrmarachne luctuosa","387","mimetic spider",1.76765179672951e-07
"Lateral","../data/outlines/sampleIt\outline1cb0332e6383.jpg","Myrmarachne luctuosa","388","mimetic spider",4.21624271560594e-10
"Lateral","../data/outlines/sampleIt\outline1cb07d47232b.JPG","Dolichoderus clarki","390","model",1
"Lateral","../data/outlines/sampleIt\outline1cb024f17c0c.JPG","Eurymela rubrolimbata","393","mimetic insect",7.25865549975196e-25
"Lateral","../data/outlines/sampleIt\outline1cb07bb83bf2.JPG","Eurymela rubrolimbata","394","non-mimic",4.58924304957863e-14
"Lateral","../data/outlines/sampleIt\outline1cb07ce32c22.JPG","Cosmophasis bitaeniata","397","mimetic spider",4.82696684355516e-15
"Lateral","../data/outlines/sampleIt\outline1cb026f77dc1.JPG","Amyciaea albomaculata","398","mimetic spider",1.60315287799873e-19
"Lateral","../data/outlines/sampleIt\outline1cb056766dbd.JPG","Amyciaea albomaculata","399","mimetic spider",2.59928803438315e-28
"Lateral","../data/outlines/sampleIt\outline1cb01e13a16.JPG","Cosmophasis bitaeniata","400","mimetic spider",4.44172800674222e-22
"Lateral","../data/outlines/sampleIt\outline1cb07a5977de.JPG","Cosmophasis bitaeniata","401","mimetic spider",3.17407345021653e-20
"Lateral","../data/outlines/sampleIt\outline1cb0517332e0.JPG","Coleoptera3 sp1","404","mimetic insect",8.22800645910303e-11
"Lateral","../data/outlines/sampleIt\outline1cb04af92c22.JPG","Daerlac apicalis","405","mimetic insect",2.02051369244513e-12
"Lateral","../data/outlines/sampleIt\outline1cb0612e1b42.JPG","Poecilipta contorqua","410","mimetic spider",5.30391491173288e-11
"Lateral","../data/outlines/sampleIt\outline1cb05e0a6cbf.JPG","Dolichoderus clarki","412","model",1
"Lateral","../data/outlines/sampleIt\outline1cb07d123a84.JPG","Vespoidea3 sp1","416","mimetic insect",0.00162197302350736
"Lateral","../data/outlines/sampleIt\outline1cb063e019e8.JPG","Leptomyrmex sp1","419","model",0.999336687674459
"Lateral","../data/outlines/sampleIt\outline1cb022da26f1.jpg","Eurymela rubrolimbata","423","mimetic insect",2.40123478815129e-22
"Lateral","../data/outlines/sampleIt\outline1cb04f0372f8.jpg","Myrmarachne erythrocephala","424","mimetic spider",2.39860526809375e-08
"Lateral","../data/outlines/sampleIt\outline1cb0189d3481.JPG","Apricia jovialis","426","mimetic spider",1.02780941945431e-28
"Lateral","../data/outlines/sampleIt\outline1cb032f59b1.JPG","Vespoidea4 sp1","430","non-mimic",5.6573945029926e-14
"Lateral","../data/outlines/sampleIt\outline1cb01ad95271.JPG","Polyrhachis sp4","431","model",1
"Lateral","../data/outlines/sampleIt\outline1cb06b6c9d8.JPG","Mantid1 sp1","437","non-mimic",0.895620341957618
"Lateral","../data/outlines/sampleIt\outline1cb03e805283.JPG","Formicid19 sp1","438","model",0.999999990056267
"Lateral","../data/outlines/sampleIt\outline1cb03fe49a9.JPG","Alydid3 sp1","444","mimetic insect",0.0585643187581729
"Lateral","../data/outlines/sampleIt\outline1cb064961976.JPG","Alydid2 sp1","446","non-mimic",5.22501369307131e-05
"Lateral","../data/outlines/sampleIt\outline1cb06d24407e.JPG","Mantid2 sp1","454","non-mimic",0.000694196767763262
"Lateral","../data/outlines/sampleIt\outline1cb010246d12.JPG","Cosmophasis thalassina","457","non-mimic",1.35490233886667e-25
"Lateral","../data/outlines/sampleIt\outline1cb058b51a1f.JPG","Ligonipes sp1","458","mimetic spider",2.88689981794994e-16
"Lateral","../data/outlines/sampleIt\outline1cb038eb6d3a.JPG","Riptortus abdominalis","462","mimetic insect",3.8460281425372e-21
"Lateral","../data/outlines/sampleIt\outline1cb01e163015.JPG","Corinnid1 sp1","469","mimetic spider",9.80178130394155e-20
"Lateral","../data/outlines/sampleIt\outline1cb026a573a1.JPG","Cosmophasis bitaeniata","473","mimetic spider",1.5973328440552e-12
"Lateral","../data/outlines/sampleIt\outline1cb01b4f6626.JPG","Myrmarachne macleayana","479","mimetic spider",2.73117753433341e-34
"Lateral","../data/outlines/sampleIt\outline1cb039c64f95.JPG","Reduviid1 sp1","488","non-mimic",0.123340577240642
"Lateral","../data/outlines/sampleIt\outline1cb046f748dc.JPG","Corinnid1 sp1","489","mimetic spider",2.01552036323199e-17
"Lateral","../data/outlines/sampleIt\outline1cb02ac81e13.JPG","Reduviid1 sp1","490","mimetic insect",0.303306037108122
"Lateral","../data/outlines/sampleIt\outline1cb05840785f.JPG","Cosmophasis bitaeniata","492","mimetic spider",1.28922814675176e-21
"Lateral","../data/outlines/sampleIt\outline1cb06522b03.JPG","Riptortus abdominalis","494","non-mimic",1.36769525433655e-15
"Lateral","../data/outlines/sampleIt\outline1cb035956cfe.JPG","Amyciaea albomaculata","499","mimetic spider",0.000308615854128704
"Lateral","../data/outlines/sampleIt\outline1cb04ab037b6.JPG","Oecophylla smaragdina","500","model",0.986790245697533
"Lateral","../data/outlines/sampleIt\outline1cb01ce644fb.JPG","Amyciaea albomaculata","503","mimetic spider",3.3548570696024e-09
"Lateral","../data/outlines/sampleIt\outline1cb042c16d9e.JPG","Cicadellid2 sp1","506","non-mimic",2.93482488535469e-40
"Lateral","../data/outlines/sampleIt\outline1cb050291445.jpg","Opisthopsis sp1","509","model",1
"Lateral","../data/outlines/sampleIt\outline1cb041fe6cea.jpg","Myandra bicincta","512","mimetic spider",3.01522484059033e-19
"Lateral","../data/outlines/sampleIt\outline1cb06b6b424d.JPG","Myandra bicincta","514","mimetic spider",2.57276263840828e-18
"Lateral","../data/outlines/sampleIt\outline1cb04a636d61.JPG","Zodarid4 sp1","515","mimetic spider",2.37120185934125e-23
"Lateral","../data/outlines/sampleIt\outline1cb0614d64bd.JPG","Holoplatys sp4","518","mimetic spider",1.49110322797596e-07
"Lateral","../data/outlines/sampleIt\outline1cb020e32d00.JPG","Myrmarachne juvenile","523","mimetic spider",1.61209743400136e-29
"Lateral","../data/outlines/sampleIt\outline1cb064b73dc8.JPG","Myrmarachne juvenile","524","mimetic spider",9.52651170470688e-16
"Lateral","../data/outlines/sampleIt\outline1cb032ef32c0.JPG","Hemiptera1 sp1","531","mimetic insect",4.90906738144593e-16
"Lateral","../data/outlines/sampleIt\outline1cb049dc6a03.JPG","Myrmarachne erythrocephala","535","mimetic spider",6.15250173714254e-12
"Lateral","../data/outlines/sampleIt\outline1cb0179b6d90.JPG","Vespoidea5 sp1","536","mimetic insect",0.813654682456597
"Lateral","../data/outlines/sampleIt\outline1cb033623fee.JPG","Formicid1 sp1","537","model",0.998501386959507
"Lateral","../data/outlines/sampleIt\outline1cb07e9977d3.JPG","Vespoidea6 sp1","579","mimetic insect",1.36646394248336e-10
"Lateral","../data/outlines/sampleIt\outline1cb012126335.JPG","Myrmarachne luctuosa","589","mimetic spider",9.0659907956787e-13
