"angle","species","sex","notes","other","mimicType","sampleSize","accuracy"
"Dorsal","Aetius nocturnus","Male","Specimen stored in ethanol; some deformation of opisthosoma","Photo","mimetic spider",1,0.000158523157320738
"Dorsal","Alydid2 sp1","","","","non-mimic",1,2.11774198028637e-13
"Dorsal","Alydid3 sp1","","","Ant mimic bug","mimetic insect",1,2.85917781687529e-07
"Dorsal","Amyciaea albomaculata","","Purchased spider","Ant-mimic spider","mimetic spider",5,4.95567187705684e-13
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","mimetic spider",6,5.04768288789016e-11
"Dorsal","Apricia jovialis","","Colouration is similar to Dolichoderus scabridus.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.","","non-mimic",2,5.76085171724423e-31
"Dorsal","Araneae10 sp1","","","","non-mimic",1,2.93636583697501e-31
"Dorsal","Araneae11 sp1","","","","non-mimic",1,3.21061355515102e-28
"Dorsal","Astia hariola","Male","Found under loose bark. Is the golden bum very crude mimicry?
Pickled in 70% ethanol, 20-Jul-2017.","","non-mimic",2,2.20286441860362e-38
"Dorsal","Battalus byrneae","Male","","Only partial images; Interpolated","mimetic spider",1,5.74951328107433e-62
"Dorsal","Camponotus nigriceps","","","","model",1,1
"Dorsal","Camponotus sp1","","On ground.
Pickled on 31-Jan-2017 in 96% ethanol","","model",1,0.99797907695738
"Dorsal","Castianeira cingulata","Male","","Photo","mimetic spider",1,2.42089865461271e-09
"Dorsal","Castianeira longipalpa","Female","","Photo","mimetic spider",1,1.43740393807048e-27
"Dorsal","Castianeira trilineata","Female","","Photo","mimetic spider",1,2.07302730977243e-22
"Dorsal","Cicadellid1 sp1","","","","non-mimic",1,6.4510167189494e-110
"Dorsal","Cicadellid2 sp1","","I assumed it was an ant when I collected it.Same colour as attendant ants.
Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,7.28678056406902e-139
"Dorsal","Coleoptera2 sp1","","On trunk of tree","Ant mimic","mimetic insect",4,4.13880331417946e-15
"Dorsal","Coleoptera3 sp1","","Found by Alex.
Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic beetle","mimetic insect",1,2.14237475224815e-22
"Dorsal","Colobathristid1 sp1","","Colour has faded a bit. Pickled in 70% ethanol, 03-June-2017.
Presumably a mimic of Oecophylla smaragdina.","Ant mimic bug","mimetic insect",1,1.85336151188562e-20
"Dorsal","Copa kabana","Male","","Photo; Interpolated","mimetic spider",1,1.75242288684552e-26
"Dorsal","Corinnid1 sp1","","Looks like a strobe ant (Opisthopsis sp).
Found by sweeping.","Possible ant-mimic spider","mimetic spider",2,6.79281205837967e-15
"Dorsal","Corinnomma sp.","Male","Specimen deformed","Photo","mimetic spider",1,0.00445854334745949
"Dorsal","Cosmophasis baehrae","","Euthanised CO2, pickled in 100% ethanol, 28-Aug-2017.
Juveniles look like small black ants","","non-mimic",2,6.91324819222333e-32
"Dorsal","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","mimetic spider",5,1.6338487094487e-31
"Dorsal","Cosmophasis micarioides","","First photos are juvenile, later adult. Juvenile body length was 4.8.","Ant-mimic spider","mimetic spider",1,1.60107489347656e-41
"Dorsal","Cosmophasis thalassina","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",7,2.00533827815866e-35
"Dorsal","Crematogaster sp1","","","","model",3,0.999753232637015
"Dorsal","Creugas gulosus","Female","","Photo","mimetic spider",1,1.66013109751905e-31
"Dorsal","Daerlac apicalis","","It was walking around on the ground. Never attempted to fly.","Ant mimic bug","mimetic insect",5,3.51334304490177e-15
"Dorsal","Daerlac nigricans","","Pickled in 96% ethanol, 22-May-2017.","Ant mimic bug","mimetic insect",6,5.48737440230277e-11
"Dorsal","Damoetas nitidus","","Pickled in 96% ethanol, 17-May-2017.","Ant-mimic spider","mimetic spider",2,1.1623293840269e-20
"Dorsal","Damoetas sp (?)","Male","","Photo","mimetic spider",1,7.71064457261799e-08
"Dorsal","Damoetas sp1","","Undescribed species. Damoetas are considered to be ant mimics, but this doesn't look like one, except perhaps for the antennal illusion. Speedy runner. ","","non-mimic",1,1.0198682446859e-19
"Dorsal","Damoetas sp3","Male","","Ant-mimic spider","mimetic spider",1,4.04574486570587e-15
