"angle","species","sex","notes","other","mimicType","sampleSize","accuracy"
"Dorsal","Aetius nocturnus","Male","Specimen stored in ethanol; some deformation of opisthosoma","Photo","mimetic spider",1,0.732031812419878
"Dorsal","Alydid2 sp1","","","","non-mimic",1,1.85048937437923e-13
"Dorsal","Alydid3 sp1","","","Ant mimic bug","mimetic insect",1,0.000164976985108825
"Dorsal","Amyciaea albomaculata","","Purchased spider","Ant-mimic spider","mimetic spider",5,1.07809827419992e-11
"Dorsal","Amyciaea sp1","","","Ant-mimic spider","mimetic spider",6,5.46019119708017e-10
"Dorsal","Apricia jovialis","","Colouration is similar to Dolichoderus scabridus.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.","","non-mimic",2,1.56108729339491e-31
"Dorsal","Araneae10 sp1","","","","non-mimic",1,3.70358770855025e-34
"Dorsal","Araneae11 sp1","","","","non-mimic",1,2.48235642610367e-30
"Dorsal","Astia hariola","Male","Found under loose bark. Is the golden bum very crude mimicry?
Pickled in 70% ethanol, 20-Jul-2017.","","non-mimic",2,4.46174692915937e-40
"Dorsal","Battalus byrneae","Male","","Only partial images; Interpolated","mimetic spider",1,3.37594343060149e-28
"Dorsal","Camponotus nigriceps","","","","model",1,1
"Dorsal","Camponotus sp1","","On ground.
Pickled on 31-Jan-2017 in 96% ethanol","","model",1,0.999999999999969
"Dorsal","Castianeira cingulata","Male","","Photo","mimetic spider",1,6.55951928681206e-08
"Dorsal","Castianeira longipalpa","Female","","Photo","mimetic spider",1,2.68469110427999e-27
"Dorsal","Castianeira trilineata","Female","","Photo","mimetic spider",1,9.03640196240399e-23
"Dorsal","Cicadellid1 sp1","","","","non-mimic",1,8.49793216625629e-113
"Dorsal","Cicadellid2 sp1","","I assumed it was an ant when I collected it.Same colour as attendant ants.
Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,2.46701233291433e-141
"Dorsal","Coleoptera2 sp1","","On trunk of tree","Ant mimic","mimetic insect",4,8.4616784986624e-06
"Dorsal","Coleoptera3 sp1","","Found by Alex.
Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic beetle","mimetic insect",1,0.999999999998179
"Dorsal","Colobathristid1 sp1","","Colour has faded a bit. Pickled in 70% ethanol, 03-June-2017.
Presumably a mimic of Oecophylla smaragdina.","Ant mimic bug","mimetic insect",1,7.18830051424471e-20
"Dorsal","Copa kabana","Male","","Photo; Interpolated","mimetic spider",1,5.48002898455827e-24
"Dorsal","Corinnid1 sp1","","Looks like a strobe ant (Opisthopsis sp).
Found by sweeping.","Possible ant-mimic spider","mimetic spider",2,1.29710426121315e-13
"Dorsal","Corinnomma sp.","Male","Specimen deformed","Photo","mimetic spider",1,0.99999619067781
"Dorsal","Cosmophasis baehrae","","Euthanised CO2, pickled in 100% ethanol, 28-Aug-2017.
Juveniles look like small black ants","","non-mimic",2,2.05943480247397e-32
"Dorsal","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","mimetic spider",5,1.42820389048549e-31
"Dorsal","Cosmophasis micarioides","","First photos are juvenile, later adult. Juvenile body length was 4.8.","Ant-mimic spider","mimetic spider",1,9.17961555894523e-42
"Dorsal","Cosmophasis thalassina","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",7,6.04669989069692e-36
"Dorsal","Crematogaster sp1","","","","model",3,1
"Dorsal","Creugas gulosus","Female","","Photo","mimetic spider",1,2.19528093218108e-20
"Dorsal","Daerlac apicalis","","It was walking around on the ground. Never attempted to fly.","Ant mimic bug","mimetic insect",5,4.02319113864706e-08
"Dorsal","Daerlac nigricans","","Pickled in 96% ethanol, 22-May-2017.","Ant mimic bug","mimetic insect",6,5.71122744191726e-07
"Dorsal","Damoetas nitidus","","Pickled in 96% ethanol, 17-May-2017.","Ant-mimic spider","mimetic spider",2,1.15027448133165e-20
"Dorsal","Damoetas sp (?)","Male","","Photo","mimetic spider",1,1.21248272511761e-05
"Dorsal","Damoetas sp1","","Undescribed species. Damoetas are considered to be ant mimics, but this doesn't look like one, except perhaps for the antennal illusion. Speedy runner. ","","non-mimic",1,5.2714422308483e-20
"Dorsal","Damoetas sp3","Male","","Ant-mimic spider","mimetic spider",1,1.17871404098751e-12
"Dorsal","Diptera1 sp1","","","Ant mimic","mimetic insect",1,3.03104286173096e-15
"Dorsal","Disnyssus helenmirrenae","/","","Drawing","mimetic spider",1,3.88706320810825e-19
"Dorsal","Dolichoderus clarki","","","","model",1,0.999999996271115
"Dorsal","Eilica sp1","Male","Identified as unnamed Eilica by Aus Mus.
Pickled in 96% ethanol, 24-May-2017.","Ant-mimic spider","mimetic spider",5,5.50068876010217e-44
"Dorsal","Eurybrachyid1 sp1","","Length is excluding weird growths","","non-mimic",1,1.41094449513899e-90
