"angle","species","mimicType","accuracy"
"Dorsal","Aetius nocturnus","mimetic spider",0.00660475041333367
"Dorsal","Alydid2 sp1","non-mimic",3.32645694639521e-05
"Dorsal","Alydid3 sp1","mimetic insect",0.0386894592113514
"Dorsal","Amyciaea albomaculata","mimetic spider",2.21855368899801e-05
"Dorsal","Amyciaea sp1","mimetic spider",0.000435525691471359
"Dorsal","Apricia jovialis","mimetic spider",2.13046382045065e-15
"Dorsal","Araneae10 sp1","non-mimic",2.13723122159528e-11
"Dorsal","Araneae11 sp1","non-mimic",2.92749144967494e-14
"Dorsal","Astia hariola","non-mimic",8.08546433879894e-34
"Dorsal","Battalus byrneae","mimetic spider",1.31118358669361e-53
"Dorsal","Camponotus nigriceps","model",0.999999999958512
"Dorsal","Camponotus sp1","model",0.997743352703445
"Dorsal","Castianeira cingulata","mimetic spider",2.86345347850394e-05
"Dorsal","Castianeira longipalpa","mimetic spider",7.90906079735513e-19
"Dorsal","Castianeira trilineata","mimetic spider",4.83863949315658e-10
"Dorsal","Cicadellid1 sp1","non-mimic",5.51271411296493e-103
"Dorsal","Cicadellid2 sp1","non-mimic",1.62739560172019e-106
"Dorsal","Coleoptera2 sp1","mimetic insect",1.01406210595599e-08
"Dorsal","Coleoptera3 sp1","mimetic insect",1.26558881000867e-12
"Dorsal","Colobathristid1 sp1","mimetic insect",7.12782996169035e-08
"Dorsal","Corinnid1 sp1","mimetic spider",1.62647491919455e-06
"Dorsal","Corinnomma sp.","mimetic spider",0.934553363814391
"Dorsal","Cosmophasis baehrae","non-mimic",2.08120518475167e-15
"Dorsal","Cosmophasis bitaeniata","mimetic spider",1.44480619583177e-12
"Dorsal","Cosmophasis micarioides","mimetic spider",5.39628743600908e-22
"Dorsal","Cosmophasis thalassina","non-mimic",1.95128933223809e-15
"Dorsal","Crematogaster sp1","model",0.999281948192393
"Dorsal","Creugas gulosus","mimetic spider",9.54469397064882e-13
"Dorsal","Daerlac apicalis","mimetic insect",4.12032808375169e-09
"Dorsal","Daerlac nigricans","mimetic insect",2.01014124065027e-06
"Dorsal","Damoetas nitidus","mimetic spider",0.00167852944974741
"Dorsal","Damoetas sp1","non-mimic",7.55420454560828e-09
"Dorsal","Damoetas sp3","mimetic spider",3.0139059647821e-11
"Dorsal","Diptera1 sp1","mimetic insect",4.53641915815069e-08
"Dorsal","Disnyssus helenmirrenae","mimetic spider",1.45226768002877e-15
"Dorsal","Dolichoderus clarki","model",0.831043395513492
"Dorsal","Eilica sp1","mimetic spider",2.42131128768038e-30
"Dorsal","Eurybrachyid1 sp1","non-mimic",1.46392926629907e-48
"Dorsal","Eurymela rubrolimbata","mimetic insect",1.89069054067788e-83
"Dorsal","Formicid1 sp1","model",0.998854114181796
"Dorsal","Formicid10 sp1","model",0.99999999999999
"Dorsal","Formicid13 sp1","model",0.920158441725787
"Dorsal","Formicid19 sp1","model",0.99999903518904
"Dorsal","Formicid20 sp1","model",1
"Dorsal","Formicid7 sp1","model",0.983498514380622
"Dorsal","Froggattella sp1","model",0.999999975376858
"Dorsal","Helpis minitabunda","non-mimic",3.53362432905073e-16
"Dorsal","Hemiptera1 sp1","mimetic insect",0.00636805640041866
"Dorsal","Heteroptera2 sp1","mimetic insect",8.01348496941711e-21
"Dorsal","Holoplatys sp2","non-mimic",8.12288500093056e-12
"Dorsal","Holoplatys sp4","mimetic spider",0.000454889217533619
"Dorsal","Iridonyssus formicans","mimetic spider",4.07720371005311e-10
"Dorsal","Iridonyssus kohouti","mimetic spider",2.43278732504333e-16
"Dorsal","Judalana lutea","mimetic spider",7.92725228921168e-05
"Dorsal","Lamponid2 sp1","non-mimic",2.6002976367871e-05
"Dorsal","Leichhardteus albofasciatus","mimetic spider",8.87565834763837e-47
"Dorsal","Leptomyrmex sp1","model",0.999756505172154
"Dorsal","Leptopicia bimaculata","mimetic spider",0.000249049563790068
"Dorsal","Ligonipes lacertosus","mimetic spider",1.5830732877678e-10
"Dorsal","Ligonipes semitectus","mimetic spider",0.000885035506818985
"Dorsal","Ligonipes sp1","mimetic spider",1.71771144106473e-14
"Dorsal","Ligonipes sp2","mimetic spider",5.79865592895897e-06
"Dorsal","Lycosid3 sp1","non-mimic",1.29762776235004e-14
"Dorsal","Lycosid4 sp1","non-mimic",7.68827302556156e-11
"Dorsal","Mantid1 sp1","non-mimic",8.12114855811223e-20
"Dorsal","Mantid2 sp1","non-mimic",1.66403675566565e-05
"Dorsal","Mazax pax","mimetic spider",0.0438102328768775
"Dorsal","Mazax spinosa","mimetic spider",1.08974831086508e-16
"Dorsal","Myandra bicincta","mimetic spider",6.02044476231895e-09
"Dorsal","Myrmapana centralis","mimetic spider",0.0118190568125168
"Dorsal","Myrmapeni chickeringi","mimetic spider",0.000318812712201488
"Dorsal","Myrmaplata plataleoides","mimetic spider",0.541610011633934
"Dorsal","Myrmarachne bicolor","mimetic spider",3.78526717621653e-06
"Dorsal","Myrmarachne erythrocephala","mimetic spider",0.00539679591795072
"Dorsal","Myrmarachne formicaria","mimetic spider",2.00051514569116e-10
"Dorsal","Myrmarachne helensmithae","mimetic spider",7.21579382096263e-08
"Dorsal","Myrmarachne juvenile","mimetic spider",0.0137269925867625
"Dorsal","Myrmarachne luctuosa","mimetic spider",0.00276810847025593
"Dorsal","Myrmarachne macaulayi","mimetic spider",0.000233378969907817
"Dorsal","Myrmarachne macleayana","mimetic spider",0.00494836583261583
"Dorsal","Myrmecia mandibularis","model",0.999961338773059
"Dorsal","Myrmecotypus rettenmeyeri","mimetic spider",0.0046173995523956
"Dorsal","Neon nellii*","mimetic spider",1.70591810314941e-29
"Dorsal","Nucastia supunnoides","mimetic spider",3.0767564576535e-06
"Dorsal","Nyssus albopunctatus","mimetic spider",6.20141556014931e-61
"Dorsal","Nyssus avidus","mimetic spider",6.83240046290381e-27
"Dorsal","Nyssus coloripes","non-mimic",3.33565001788259e-13
"Dorsal","Nyssus luteofinis","mimetic spider",1.44980536776257e-07
"Dorsal","Nyssus paradoxus","mimetic spider",1.11766441397578e-09
"Dorsal","Odontomachus sp1","model",0.996792033682669
"Dorsal","Oecophylla smaragdina","model",0.999999892995304
"Dorsal","Opisthopsis sp1","model",0.99999388861854
"Dorsal","Oxyopes elegans","non-mimic",2.66033258335533e-12
"Dorsal","Poecilipta contorqua","mimetic spider",0.0487694655787912
"Dorsal","Poecilipta kohouti","mimetic spider",1.05950215696652e-05
"Dorsal","Polyrhachis ammon","model",1
"Dorsal","Polyrhachis monteithi","model",1
"Dorsal","Polyrhachis sp1","model",0.999996897080065
"Dorsal","Polyrhachis sp2","model",0.999999999999997
"Dorsal","Reduviid1 sp1","non-mimic",6.14662733266952e-07
"Dorsal","Rhombonotus gracilis","mimetic spider",0.00554135366898854
"Dorsal","Rhombonotus sp1","non-mimic",4.05056300185867e-14
"Dorsal","Rhombonotus sp2","mimetic spider",0.00211143396950273
"Dorsal","Rhombonotus sp3","mimetic spider",0.00150191502325121
"Dorsal","Rhytidoponera metallica","model",0.999984534544883
"Dorsal","Riptortus abdominalis","mimetic insect",0.000588349837926832
"Dorsal","Salticid17 sp1","mimetic spider",2.43965104048617e-08
"Dorsal","Salticid18 sp1","non-mimic",2.95218210737931e-25
"Dorsal","Salticid5 sp1","non-mimic",6.39997626311703e-12
"Dorsal","Salticid7 sp1","non-mimic",7.6137131112189e-44
"Dorsal","Serendib suthepica","mimetic spider",0.0815608029938979
"Dorsal","Serendib volans","mimetic spider",4.39870770522994e-12
"Dorsal","Servaea incana","non-mimic",7.06783720802331e-32
"Dorsal","Sphecotypus niger","mimetic spider",0.0149754018704427
"Dorsal","Sphinctomyrmex sp1","model",0.980234340387108
"Dorsal","Storena mainae","non-mimic",6.93733037919998e-12
"Dorsal","Tamopsis fickerti","non-mimic",3.63254748162908e-60
"Dorsal","Thomisid1 sp1","non-mimic",1.73259344354542e-65
"Dorsal","Tinytrema bondi","mimetic spider",1.85244188813473e-10
"Dorsal","Vespoidea2 sp1","mimetic insect",3.82906172138051e-07
"Dorsal","Vespoidea3 sp1","mimetic insect",1.93751061248886e-05
"Dorsal","Vespoidea3 sp3","mimetic insect",1.5923871915865e-17
"Dorsal","Vespoidea4 sp1","non-mimic",2.46178036610448e-08
"Dorsal","Vespoidea5 sp1","mimetic insect",2.18241968271017e-06
"Dorsal","Vespoidea6 sp1","mimetic insect",3.9524258826419e-11
"Dorsal","Zillimata scintillans","non-mimic",0.000556475545671726
"Dorsal","Zodarid4 sp1","mimetic spider",1.15895737837991e-14
