"angle","species","sex","notes","other","mimicType","sampleSize","accuracy"
"Lateral","Aetius nocturnus","Male","Specimen stored in ethanol; some deformation of opisthosoma","Photo; Angle adjusted","mimetic spider",1,4.38651363011828e-40
"Lateral","Alydid2 sp1","","","","non-mimic",1,2.14688742464827e-47
"Lateral","Alydid3 sp1","","","Ant mimic bug","mimetic insect",1,4.16659946947743e-15
"Lateral","Amyciaea albomaculata","","Purchased spider","Ant-mimic spider","mimetic spider",4,1.32355797331861e-20
"Lateral","Apricia jovialis","","Colouration is similar to Dolichoderus scabridus.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.","","non-mimic",2,4.3499377440951e-56
"Lateral","Astia hariola","","Appears to have died during a moult.
Pickled in 96% ethanol, 29-May-2017.","","non-mimic",1,9.424634926323e-60
"Lateral","Camponotus nigriceps","","","","model",2,1
"Lateral","Camponotus sp2","","","","model",1,1
"Lateral","Castianeira gertschi","Male","","Photo","mimetic spider",1,1.13226917858346e-48
"Lateral","Castianeira longipalpa","Female","","Photo; Interpolated","mimetic spider",1,8.61960829486515e-86
"Lateral","Castianeira trilineata","Female","","Photo; Interpolated","mimetic spider",1,1.13571255216457e-47
"Lateral","Cicadellid2 sp1","","I assumed it was an ant when I collected it.Same colour as attendant ants.
Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,8.09998243571308e-105
"Lateral","Coleoptera2 sp1","","On trunk of tree","Ant mimic","mimetic insect",4,2.90252018039203e-50
"Lateral","Coleoptera3 sp1","","Found by Alex.
Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic beetle","mimetic insect",1,1.71937264515187e-43
"Lateral","Colobathristid1 sp1","","Colour has faded a bit. Pickled in 70% ethanol, 03-June-2017.
Presumably a mimic of Oecophylla smaragdina.","Ant mimic bug","mimetic insect",1,3.56554190947642e-40
"Lateral","Corinnid1 sp1","","Looks like a strobe ant (Opisthopsis sp).
Found by sweeping.","Possible ant-mimic spider","mimetic spider",2,1.45594211908811e-41
"Lateral","Corinnomma sp.","Male","Specimen deformed","Photo; Angle adjusted","mimetic spider",1,1.41955490508983e-05
"Lateral","Cosmophasis baehrae","","Euthanised CO2, pickled in 100% ethanol, 28-Aug-2017.
Juveniles look like small black ants","","non-mimic",2,2.45224800376224e-68
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","mimetic spider",5,1.61083043709304e-48
"Lateral","Cosmophasis micarioides","","First photos are juvenile, later adult. Juvenile body length was 4.8.","Ant-mimic spider","mimetic spider",1,7.94773313221741e-78
"Lateral","Cosmophasis thalassina","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",7,5.00108457646319e-75
"Lateral","Crematogaster sp1","","","","model",2,1
"Lateral","Daerlac apicalis","","It was walking around on the ground. Never attempted to fly.","Ant mimic bug","mimetic insect",5,5.75270453276116e-33
"Lateral","Daerlac nigricans","","Pickled in 96% ethanol, 22-May-2017.","Ant mimic bug","mimetic insect",4,1.41266380707725e-29
"Lateral","Damoetas nitidus","","Pickled in 96% ethanol, 17-May-2017.","Ant-mimic spider","mimetic spider",1,1.21188579606869e-38
"Lateral","Damoetas sp (?)","Male","","Photo; Interpolated","mimetic spider",1,2.16072194582001e-30
"Lateral","Diptera3 sp1","","","","non-mimic",1,1.07356096712648e-138
"Lateral","Dolichoderus clarki","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","model",2,1
"Lateral","Eilica sp1","Male","Identified as unnamed Eilica by Aus Mus.
Pickled in 96% ethanol, 24-May-2017.","Ant-mimic spider","mimetic spider",4,1.22333096984029e-60
"Lateral","Eurymela rubrolimbata","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","non-mimic",1,1.34021744638402e-45
"Lateral","Eurymela rubrolimbata (juvenile)","","23-1-17 10:30am Died under spectroscope. Asphyxiated by glad-wrap? Squashed?
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic bug","mimetic insect",2,9.89190596680159e-49
"Lateral","Formicid1 sp1","","Pickled, 21-Apr-2017.","","model",1,0.999999998622689
"Lateral","Formicid10 sp1","","Pickled in 96% ethanol, 22-May-2017.","","model",1,1
"Lateral","Formicid13 sp1","","Pickled in 70% ethanol, 12-Jul-2017.","","model",1,0.999999999999965
