"angle","species","sex","notes","other","mimicType","sampleSize","accuracy"
"Lateral","Aetius nocturnus","Male","Specimen stored in ethanol; some deformation of opisthosoma","Photo; Angle adjusted","mimetic spider",1,6.75137578209951e-33
"Lateral","Alydid2 sp1","","","","non-mimic",1,2.09916336737557e-49
"Lateral","Alydid3 sp1","","","Ant mimic bug","mimetic insect",1,1
"Lateral","Amyciaea albomaculata","","Purchased spider","Ant-mimic spider","mimetic spider",4,1
"Lateral","Apricia jovialis","","Colouration is similar to Dolichoderus scabridus.
14 Feb 2017 knocked out with CO2, pickled in 96% ethanol.","","non-mimic",2,1.52943387910983e-57
"Lateral","Astia hariola","","Appears to have died during a moult.
Pickled in 96% ethanol, 29-May-2017.","","non-mimic",1,4.53758631206789e-63
"Lateral","Camponotus nigriceps","","","","model",2,1
"Lateral","Camponotus sp2","","","","model",1,1
"Lateral","Castianeira gertschi","Male","","Photo","mimetic spider",1,1
"Lateral","Castianeira longipalpa","Female","","Photo; Interpolated","mimetic spider",1,1
"Lateral","Castianeira trilineata","Female","","Photo; Interpolated","mimetic spider",1,1
"Lateral","Cicadellid2 sp1","","I assumed it was an ant when I collected it.Same colour as attendant ants.
Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,9.29559881930102e-109
"Lateral","Coleoptera2 sp1","","On trunk of tree","Ant mimic","mimetic insect",4,6.25367493688202e-50
"Lateral","Coleoptera3 sp1","","Found by Alex.
Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","Ant-mimic beetle","mimetic insect",1,0.0625937805937733
"Lateral","Colobathristid1 sp1","","Colour has faded a bit. Pickled in 70% ethanol, 03-June-2017.
Presumably a mimic of Oecophylla smaragdina.","Ant mimic bug","mimetic insect",1,5.67090788834639e-05
"Lateral","Corinnid1 sp1","","Looks like a strobe ant (Opisthopsis sp).
Found by sweeping.","Possible ant-mimic spider","mimetic spider",2,2.26499805801672e-39
"Lateral","Corinnomma sp.","Male","Specimen deformed","Photo; Angle adjusted","mimetic spider",1,0.999999999991499
"Lateral","Cosmophasis baehrae","","Euthanised CO2, pickled in 100% ethanol, 28-Aug-2017.
Juveniles look like small black ants","","non-mimic",2,1.21565870630373e-69
"Lateral","Cosmophasis bitaeniata","","Purchased spider","Ant-mimic spider","mimetic spider",5,2.90814047360213e-47
"Lateral","Cosmophasis micarioides","","First photos are juvenile, later adult. Juvenile body length was 4.8.","Ant-mimic spider","mimetic spider",1,2.91267942434193e-78
"Lateral","Cosmophasis thalassina","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",7,1.82282846598775e-75
"Lateral","Crematogaster sp1","","","","model",2,1
"Lateral","Daerlac apicalis","","It was walking around on the ground. Never attempted to fly.","Ant mimic bug","mimetic insect",5,9.54164070035581e-28
"Lateral","Daerlac nigricans","","Pickled in 96% ethanol, 22-May-2017.","Ant mimic bug","mimetic insect",4,6.76285055136042e-10
"Lateral","Damoetas nitidus","","Pickled in 96% ethanol, 17-May-2017.","Ant-mimic spider","mimetic spider",1,0.999999790996745
"Lateral","Damoetas sp (?)","Male","","Photo; Interpolated","mimetic spider",1,1.20386812276063e-21
"Lateral","Diptera3 sp1","","","","non-mimic",1,2.44485014306789e-148
"Lateral","Dolichoderus clarki","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","model",2,1
"Lateral","Eilica sp1","Male","Identified as unnamed Eilica by Aus Mus.
Pickled in 96% ethanol, 24-May-2017.","Ant-mimic spider","mimetic spider",4,9.29141803480386e-51
"Lateral","Eurymela rubrolimbata","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","non-mimic",1,3.09883214453779e-47
"Lateral","Eurymela rubrolimbata (juvenile)","","23-1-17 10:30am Died under spectroscope. Asphyxiated by glad-wrap? Squashed?
Pickled on 31-Jan-2017 in 96% ethanol","Ant mimic bug","mimetic insect",2,1.51876391742124e-45
"Lateral","Formicid1 sp1","","Pickled, 21-Apr-2017.","","model",1,1
"Lateral","Formicid10 sp1","","Pickled in 96% ethanol, 22-May-2017.","","model",1,1
"Lateral","Formicid13 sp1","","Pickled in 70% ethanol, 12-Jul-2017.","","model",1,1
"Lateral","Formicid19 sp1","","Pickled in 96% ethanol 29-Mar-2017.
Probably in Ectaheteromorph group (Ectatomma,Heteroponera,Rhytidoponera, Gnaptogenys,etc.)","","model",1,1
"Lateral","Froggattella sp1","","","","model",1,1
"Lateral","Gryllid1 sp1","","","","non-mimic",1,8.54616564967572e-63
"Lateral","Hemiptera1 sp1","","Pickled, 21-Apr-2017.","Ant mimic bug","mimetic insect",1,7.01480044183033e-11
"Lateral","Heteroptera2 sp1","","Its wings aren't sitting in place correctly.
Pickled in 70% ethanol, 12-Jul-2017.","Ant mimic bug","mimetic insect",4,1
"Lateral","Holoplatys sp2","","Pickled in 96% ethanol, 29-May-2017.","","non-mimic",1,8.14166511180724e-54
"Lateral","Holoplatys sp4","","Juvenile? Pickled in 96% ethanol, 9-May-2017.","Ant-mimic spider","mimetic spider",1,1.71659206422614e-24
"Lateral","Insecta1 sp1","","","","non-mimic",1,1.95251015350808e-25
"Lateral","Iridonyssus kohouti","","Probable mimic. Found sheltering with ants (specimen 950). Observed by Chris to behave like the ants it was with, including antennal illusion. 
Pickled in 100% ethanol, 28-Aug-2017.","Ant mimic spider","mimetic spider",1,1
"Lateral","Isopoda1 sp1","","","","non-mimic",1,1.88937791655678e-51
"Lateral","Judalana lutea","Male","Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",4,1.24991846025289e-17
"Lateral","Lamponid2 sp1","","Pickled in 70% ethanol, 12-Jul-2017.","Predator","non-mimic",1,1.37650078219228e-52
"Lateral","Leptomyrmex sp1","","Frozen 19-Feb-2017
Pickled in 96% ethanol 1-Mar-2017","","model",1,1
"Lateral","Ligonipes sp1","","Collected by Barbara Baehr.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","mimetic spider",1,2.244862226097e-24
"Lateral","Mantid1 sp1","","Pickled in 96% ethanol 29-Mar-2017.","","non-mimic",1,7.29220480038897e-10
"Lateral","Mantid2 sp1","","Mimic of large red Rhytidoponera (according to Chris Burnell, ant taxonomist)","","non-mimic",1,1.37306071159223e-13
"Lateral","Mazax pax","Female","","Photo; Interpolated","mimetic spider",1,1
"Lateral","Mazax spinosa","Female","","Photo","mimetic spider",1,1
"Lateral","Myandra bicincta","","Collected by Jonas under bark. Died because I froze it for too long.
Specimen broke apart.
Pickled in 96% ethanol 29-Mar-2017.","Ant-mimic spider","mimetic spider",2,4.71152678596945e-23
"Lateral","Myrmapana centralis","Female","Specimen deformed","Photo; Angle adjusted","mimetic spider",1,1.68415734520575e-05
"Lateral","Myrmapana parallela","Male","","Photo; Interpolated","mimetic spider",1,1
"Lateral","Myrmapeni chickeringi","Male","","Photo; Interpolated","mimetic spider",1,0.999999987299579
"Lateral","Myrmaplata plataleoides","Male","","Photo; Angle adjusted","mimetic spider",1,1
"Lateral","Myrmarachne bicolor","","Pickled in 70% ethanol, 12-Jul-2017.","Ant-mimic spider","mimetic spider",1,1
"Lateral","Myrmarachne erythrocephala","","Found on sheet while sampling leaf litter, escaped from care","Ant mimic","mimetic spider",9,1.07530924689988e-18
"Lateral","Myrmarachne formicaria","Male","","Photo; Angle adjusted, interpolated","mimetic spider",1,5.92762292347517e-52
"Lateral","Myrmarachne helensmithae","Male","","Photo; Interpolated","mimetic spider",1,0.0805212344363393
