"angle","species","mimicType","accuracy"
"Lateral","Aetius nocturnus","mimetic spider",7.91572183493678e-26
"Lateral","Alydid2 sp1","non-mimic",6.30867565464352e-09
"Lateral","Alydid3 sp1","mimetic insect",0.00627690858104927
"Lateral","Amyciaea albomaculata","mimetic spider",1.24710138712078e-13
"Lateral","Apricia jovialis","mimetic spider",1.22001053999649e-34
"Lateral","Astia hariola","non-mimic",1.17135314918624e-49
"Lateral","Camponotus nigriceps","model",0.999999999999973
"Lateral","Camponotus sp2","model",1
"Lateral","Castianeira gertschi","mimetic spider",1.37201205946051e-24
"Lateral","Castianeira longipalpa","mimetic spider",3.24873292632095e-76
"Lateral","Castianeira trilineata","mimetic spider",6.87533799055081e-47
"Lateral","Cicadellid2 sp1","non-mimic",7.87389200806894e-46
"Lateral","Coleoptera2 sp1","mimetic insect",5.11450312065442e-17
"Lateral","Coleoptera3 sp1","mimetic insect",1.09188978765029e-13
"Lateral","Colobathristid1 sp1","mimetic insect",1.89829735690533e-18
"Lateral","Corinnid1 sp1","mimetic spider",2.87667952292211e-28
"Lateral","Corinnomma sp.","mimetic spider",3.09874230072999e-06
"Lateral","Cosmophasis baehrae","non-mimic",8.05186441006725e-40
"Lateral","Cosmophasis bitaeniata","mimetic spider",2.54130305139804e-25
"Lateral","Cosmophasis micarioides","mimetic spider",7.77056083312691e-32
"Lateral","Cosmophasis thalassina","non-mimic",3.58835165371114e-43
"Lateral","Crematogaster sp1","model",0.999999981439015
"Lateral","Daerlac apicalis","mimetic insect",2.81992209447783e-12
"Lateral","Daerlac nigricans","mimetic insect",5.86350927810282e-12
"Lateral","Damoetas nitidus","mimetic spider",2.06779144728981e-26
"Lateral","Diptera3 sp1","non-mimic",5.26929167919853e-59
"Lateral","Dolichoderus clarki","model",1
"Lateral","Eilica sp1","mimetic spider",1.49873033300138e-31
"Lateral","Eurymela rubrolimbata","mimetic insect",1.388468406533e-23
"Lateral","Formicid1 sp1","model",0.998255556275638
"Lateral","Formicid10 sp1","model",1
"Lateral","Formicid13 sp1","model",0.999999988343299
"Lateral","Formicid19 sp1","model",0.999999994012526
"Lateral","Froggattella sp1","model",1
"Lateral","Gryllid1 sp1","non-mimic",4.84126312277545e-27
"Lateral","Hemiptera1 sp1","mimetic insect",3.73803803567665e-23
"Lateral","Heteroptera2 sp1","mimetic insect",1.76538517495255e-09
"Lateral","Holoplatys sp2","non-mimic",1.02654305643594e-28
"Lateral","Holoplatys sp4","mimetic spider",3.16154217257172e-15
"Lateral","Insecta1 sp1","non-mimic",2.79421918032087e-08
"Lateral","Iridonyssus kohouti","mimetic spider",7.29258500705755e-41
"Lateral","Isopoda1 sp1","non-mimic",3.11938322185501e-21
"Lateral","Judalana lutea","mimetic spider",1.16972087606087e-22
"Lateral","Lamponid2 sp1","non-mimic",4.18989889689472e-28
"Lateral","Leptomyrmex sp1","model",0.996957519563219
"Lateral","Ligonipes sp1","mimetic spider",5.35275549616224e-26
"Lateral","Mantid1 sp1","non-mimic",0.044925995102367
"Lateral","Mantid2 sp1","non-mimic",4.1199098227247e-05
"Lateral","Mazax pax","mimetic spider",8.0858525718891e-25
"Lateral","Mazax spinosa","mimetic spider",1.38639680015579e-51
"Lateral","Myandra bicincta","mimetic spider",4.55404338673221e-29
"Lateral","Myrmapana centralis","mimetic spider",3.64325025529578e-23
"Lateral","Myrmapana parallela","mimetic spider",7.13930440886073e-19
"Lateral","Myrmapeni chickeringi","mimetic spider",1.00712269684166e-44
"Lateral","Myrmaplata plataleoides","mimetic spider",9.73759302305378e-10
"Lateral","Myrmarachne bicolor","mimetic spider",5.27436435505345e-24
"Lateral","Myrmarachne erythrocephala","mimetic spider",3.11250818783686e-19
"Lateral","Myrmarachne formicaria","mimetic spider",2.13394679288829e-37
"Lateral","Myrmarachne helensmithae","mimetic spider",4.3780465831674e-18
"Lateral","Myrmarachne juvenile","mimetic spider",1.43154247627838e-18
"Lateral","Myrmarachne luctuosa","mimetic spider",8.72192915311035e-18
"Lateral","Myrmarachne macaulayi","mimetic spider",5.1066316178088e-28
"Lateral","Myrmarachne macleayana","mimetic spider",1.33366264544456e-26
"Lateral","Myrmecotypus rettenmeyeri","mimetic spider",3.44551149695634e-16
"Lateral","Notoncus sp1","model",0.999999910602755
"Lateral","Nyssus coloripes","non-mimic",6.15510804184493e-69
"Lateral","Oecophylla smaragdina","model",0.966319677150157
"Lateral","Opisthopsis sp1","model",1
"Lateral","Oxyopes elegans","non-mimic",7.53412275833624e-56
"Lateral","Poecilipta contorqua","mimetic spider",1.32456525435116e-19
"Lateral","Poecilipta kohouti","mimetic spider",2.7701635203221e-30
"Lateral","Polyrhachis ammon","model",1
"Lateral","Polyrhachis monteithi","model",0.999849792662542
"Lateral","Polyrhachis sp1","model",1
"Lateral","Polyrhachis sp2","model",0.999999999999887
"Lateral","Polyrhachis sp4","model",1
"Lateral","Reduviid1 sp1","non-mimic",0.0172438227495883
"Lateral","Rhombonotus gracilis","mimetic spider",4.9471196675345e-23
"Lateral","Rhombonotus sp2","mimetic spider",9.60078157423178e-18
"Lateral","Rhombonotus sp3","mimetic spider",3.31142111676157e-19
"Lateral","Rhytidoponera metallica","model",0.999991276137261
"Lateral","Riptortus abdominalis","mimetic insect",6.00220107583843e-23
"Lateral","Salticid17 sp1","mimetic spider",7.06573336335787e-23
"Lateral","Salticid18 sp1","non-mimic",1.10117595883608e-40
"Lateral","Serendib suthepica","mimetic spider",1.97261221273374e-33
"Lateral","Serendib volans","mimetic spider",6.77276574179513e-37
"Lateral","Sphecotypus niger","mimetic spider",2.88471216880397e-09
"Lateral","Stigmacros sp1","model",0.999999993405644
"Lateral","Tapinoma sp1","model",0.999999999997967
"Lateral","Vespoidea3 sp1","mimetic insect",5.02283878960101e-08
"Lateral","Vespoidea4 sp1","non-mimic",1.50116944324776e-14
"Lateral","Vespoidea5 sp1","mimetic insect",0.0373018168661017
"Lateral","Vespoidea6 sp1","mimetic insect",4.0680614090089e-16
"Lateral","Zodarid4 sp1","mimetic spider",4.80431411777521e-38
