ptype,angle,state,source,camera,rating,ftype,url,imageabletype,imageableid,created_at,updated_at,outlineId,photoDescription,file,id,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,scientificNameAuthorship,vernacularName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locationRemarks,time,day,month,year,recordedBy,siteId,description,individualCount,bodylength,sex,lifeStage,form,notes,idconfidence,other,ref,disposition,numphotos
Outline,Dorsal,Dry,Photo 75,Canon EOS 7D,NA,photo,http://localhost/images/photos/1/348.jpg,Specimen,1,2017-01-06 03:44:11 UTC,2017-01-06 03:44:12 UTC,348,strict,../data/outlines/sampleIt\outline1cb01a7d2e64.jpg,1,Animalia,Arthropoda,Insecta,Hymenoptera,,Vespoidea2,Vespoidea2 sp1,Species,Vespoidea2 sp1,,,-33.77101389,151.113375,10,0,"MQ campus, Sydney, NSW",12:00,24,9,2016,Jim,1,Hymeoptera ?,1,3,,,,,,Ant mimic,1-Jan,,3
Outline,Lateral,Dry,Photo 79,,NA,photo,http://localhost/images/photos/15/3943.jpg,Specimen,3,2017-08-20 06:25:38 UTC,2017-08-20 06:25:41 UTC,3943,"strict, angles adjusted",../data/outlines/sampleIt\outline1cb05d367bb5.jpg,3,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Stigmacros,Stigmacros sp1,Species,Stigmacros sp1,,,-33.77101389,151.113375,10,0,"MQ campus, Sydney, NSW",12:00,24,9,2016,Jim,1,Small black ant,1,2.3,,,,,,,1-Mar,,2
Outline,Dorsal,Alive,Photo 85,Canon EOS 7D,NA,photo,http://localhost/images/photos/1/349.jpg,Specimen,12,2017-01-06 03:44:13 UTC,2017-01-06 03:44:14 UTC,349,strict,../data/outlines/sampleIt\outline1cb03c3b824.jpg,12,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Myrmarachne,Myrmarachne luctuosa,Species,Myrmarachne luctuosa,"(L. Koch, 1879)",,-33.77101389,151.113375,10,0,"MQ campus, Sydney, NSW",12:00,24,9,2016,Jim,1,Ant mimic spider,1,6.7,,,,"About 2m up tree, no ants visible nearby, died in care, opisthosoma dessicated",1,Ant mimic,1-Dec,In collection,7
Outline,Dorsal,Alive,Photo 87,Canon EOS 7D,NA,photo,http://localhost/images/photos/1/350.jpg,Specimen,13,2017-01-06 03:44:14 UTC,2017-01-06 03:44:16 UTC,350,strict,../data/outlines/sampleIt\outline1cb01a8d57bf.jpg,13,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Froggattella,Froggattella sp1,Species,Froggattella sp1,,,-33.77103889,151.1134278,10,0,"MQ campus, Sydney, NSW",11:40,26,9,2016,Jim,2,Small red and black  ant,31,3.8,,,,Abundant all around tree and on trunk,,,2-Jan,,3
Outline,Dorsal,Dry,Photo 89,Canon EOS 7D,NA,photo,http://localhost/images/photos/15/3948.jpg,Specimen,14,2017-08-21 12:51:13 UTC,2017-08-21 12:51:18 UTC,3948,strict,../data/outlines/sampleIt\outline1cb05c271c04.jpg,14,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cicadellid1,Cicadellid1 sp1,Species,Cicadellid1 sp1,,,-33.77103889,151.1134278,10,0,"MQ campus, Sydney, NSW",11:40,26,9,2016,Jim,2,Plant hopper nymph?,1,2.5,,,,,,,2-Feb,,3
Outline,Dorsal,Dry,Photo 91,Canon EOS 7D,NA,photo,http://localhost/images/photos/1/352.jpg,Specimen,15,2017-01-06 03:44:18 UTC,2017-01-06 03:44:20 UTC,352,strict,../data/outlines/sampleIt\outline1cb0556b2797.jpg,15,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Servaea,Servaea incana,Species,Servaea incana,"(L. Keyserling, 1878)",Hoary Servaea,-33.77103889,151.1134278,10,0,"MQ campus, Sydney, NSW",11:40,26,9,2016,Jim,2,Jumping spider,1,8.8,,,,,,,2-Mar,,4
Outline,Dorsal,Alive,Photo 94,Canon EOS 7D,NA,photo,http://localhost/images/photos/1/353.jpg,Specimen,16,2017-01-06 03:44:20 UTC,2017-01-06 03:44:21 UTC,353,strict,../data/outlines/sampleIt\outline1cb073024073.jpg,16,Animalia,Arthropoda,Insecta,Hemiptera,Eurybrachyidae,Eurybrachyid1,Eurybrachyid1 sp1,Species,Eurybrachyid1 sp1,,,-33.77103889,151.1134278,10,0,"MQ campus, Sydney, NSW",11:40,26,9,2016,Jim,2,Plant hopper nymph,1,8.4,,,,Length is excluding weird growths,,,2-Apr,,3
Outline,Dorsal,Alive,Photo 97,Canon EOS 7D,NA,photo,http://localhost/images/photos/1/354.jpg,Specimen,17,2017-01-06 03:44:21 UTC,2017-01-06 03:44:23 UTC,354,strict,../data/outlines/sampleIt\outline1cb045b44cce.jpg,17,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Servaea,Servaea incana,Species,Servaea incana,"(L. Keyserling, 1878)",Hoary Servaea,-33.77103889,151.1134278,10,0,"MQ campus, Sydney, NSW",11:40,26,9,2016,Jim,2,Jumping spider,1,8.2,,,,,,,2-May,,3
Outline,Lateral,Dry,Photo 98,,NA,photo,http://localhost/images/photos/9/2284.jpg,Specimen,18,2017-05-31 14:11:44 UTC,2017-05-31 22:31:16 UTC,2284,strict with interpolation,../data/outlines/sampleIt\outline1cb03a04780f.jpg,18,Animalia,Arthropoda,Insecta,Diptera,,Diptera3,Diptera3 sp1,Species,Diptera3 sp1,,,-33.76857222,151.1188361,10,0,"MQ nature reserve, NSW",15:30,28,9,2016,Jim,3,Midge,1,3.4,,,,,,,3-Jan,,2
Outline,Lateral,Dry,Photo 99,Canon EOS 7D,NA,photo,http://localhost/images/photos/14/3738.jpg,Specimen,19,2017-08-12 02:10:03 UTC,2017-08-12 02:10:12 UTC,3738,strict with interpolation,../data/outlines/sampleIt\outline1cb0418b1887.jpg,19,Animalia,Arthropoda,Insecta,,,Insecta1,Insecta1 sp1,Species,Insecta1 sp1,,,-33.76857222,151.1188361,10,0,"MQ nature reserve, NSW",15:30,28,9,2016,Jim,3,Tiny insect,1,1.7,,,,,,,3-Feb,,2
