mass_A
t,x,y
0.000000000e0,2.586428404e-1,3.385898275e-1
2.000000000e-2,2.584949439e-1,3.381315907e-1
4.000000000e-2,2.584948999e-1,3.381316423e-1
6.000000000e-2,2.584948647e-1,3.381317303e-1
8.000000000e-2,2.584947281e-1,3.381319189e-1
1.000000000e-1,2.584946931e-1,3.381318702e-1
1.200000000e-1,2.584947235e-1,3.381318597e-1
1.400000000e-1,2.584947168e-1,3.381318666e-1
1.600000000e-1,2.584947422e-1,3.381318764e-1
1.800000000e-1,2.584947451e-1,3.381318853e-1
2.000000000e-1,2.584947555e-1,3.381318646e-1
2.200000000e-1,2.584947677e-1,3.381318621e-1
2.400000000e-1,2.584947821e-1,3.381318429e-1
2.600000000e-1,2.584949186e-1,3.381316175e-1
2.800000000e-1,2.584950333e-1,3.381313651e-1
3.000000000e-1,2.584951342e-1,3.381311279e-1
3.200000000e-1,2.584952338e-1,3.381308109e-1
3.400000000e-1,2.584951232e-1,3.381311207e-1
3.600000000e-1,2.584950290e-1,3.381312941e-1
3.800000000e-1,2.584949449e-1,3.381314771e-1
4.000000000e-1,2.585017609e-1,3.381332695e-1
4.200000000e-1,2.585018670e-1,3.381382970e-1
4.400000000e-1,2.585026387e-1,3.381444067e-1
4.600000000e-1,2.585039527e-1,3.381527051e-1
4.800000000e-1,2.585401126e-1,3.381931704e-1
5.000000000e-1,2.585207068e-1,3.382645555e-1
5.200000000e-1,2.584267473e-1,3.385585679e-1
5.400000000e-1,2.583621823e-1,3.387392076e-1
5.600000000e-1,2.582668016e-1,3.386364743e-1
5.800000000e-1,2.580556446e-1,3.387270232e-1
6.000000000e-1,2.581118138e-1,3.401622192e-1
6.200000000e-1,2.582209454e-1,3.409908867e-1
6.400000000e-1,2.578391067e-1,3.410855658e-1
6.600000000e-1,2.578933062e-1,3.410707688e-1
6.800000000e-1,2.579094583e-1,3.410598497e-1
7.000000000e-1,2.579196620e-1,3.410521975e-1
7.200000000e-1,2.579233623e-1,3.410461583e-1
7.400000000e-1,2.579355979e-1,3.410381897e-1
7.600000000e-1,2.579414638e-1,3.410330243e-1
7.800000000e-1,2.579466064e-1,3.410286139e-1
8.000000000e-1,2.579496856e-1,3.410247693e-1
8.200000000e-1,2.579560377e-1,3.410245190e-1
8.400000000e-1,2.579603059e-1,3.410242785e-1
8.600000000e-1,2.579638140e-1,3.410229636e-1
8.800000000e-1,2.579676170e-1,3.410233841e-1
9.000000000e-1,2.579707405e-1,3.410237333e-1
9.200000000e-1,2.579746734e-1,3.410253506e-1
9.400000000e-1,2.578721936e-1,3.413047330e-1
9.600000000e-1,2.575661820e-1,3.415998599e-1
9.800000000e-1,2.574621549e-1,3.417017036e-1
1.000000000e0,2.574559670e-1,3.416816037e-1
1.020000000e0,2.574623803e-1,3.416568689e-1
1.040000000e0,2.574665955e-1,3.416372533e-1
1.060000000e0,2.574726873e-1,3.416210225e-1
1.080000000e0,2.574763201e-1,3.416081163e-1
1.100000000e0,2.574788429e-1,3.415968079e-1
1.120000000e0,2.574816624e-1,3.415864478e-1
1.140000000e0,2.574819002e-1,3.415764789e-1
1.160000000e0,2.574838277e-1,3.415684183e-1
1.180000000e0,2.574849762e-1,3.415610026e-1
1.200000000e0,2.574866739e-1,3.415553890e-1
1.220000000e0,2.574884654e-1,3.415506514e-1
1.240000000e0,2.574894544e-1,3.415469507e-1
1.260000000e0,2.574908961e-1,3.415430908e-1
1.280000000e0,2.574909149e-1,3.415401300e-1
1.300000000e0,2.574920768e-1,3.415364495e-1
1.320000000e0,2.574923885e-1,3.415339762e-1
1.340000000e0,2.574930471e-1,3.415314695e-1
1.360000000e0,2.574923768e-1,3.415306146e-1
1.380000000e0,2.574932297e-1,3.415282357e-1
1.400000000e0,2.574938742e-1,3.415270539e-1
1.420000000e0,2.574943687e-1,3.415260067e-1
1.440000000e0,2.574943675e-1,3.415254768e-1
1.460000000e0,2.574946647e-1,3.415244789e-1
1.480000000e0,2.574949331e-1,3.415235466e-1
1.500000000e0,2.574952878e-1,3.415226276e-1
1.520000000e0,2.574956989e-1,3.415218900e-1
1.540000000e0,2.574957975e-1,3.415206042e-1
1.560000000e0,2.574961903e-1,3.415197281e-1
1.580000000e0,2.574963429e-1,3.415185743e-1
1.600000000e0,2.574969889e-1,3.415180674e-1
1.620000000e0,2.570561573e-1,3.424154779e-1
1.640000000e0,2.570252342e-1,3.424127808e-1
1.660000000e0,2.570244666e-1,3.424171212e-1
1.680000000e0,2.570222293e-1,3.424210476e-1
1.700000000e0,2.570212399e-1,3.424239878e-1
1.720000000e0,2.570203493e-1,3.424277777e-1
1.740000000e0,2.570191339e-1,3.424301611e-1
1.760000000e0,2.570187748e-1,3.424327073e-1
1.780000000e0,2.570175236e-1,3.424357678e-1
