mass_A
t,x,y
0.000000000e0,3.119500355e-1,3.092054888e-1
4.166666667e-3,3.119689515e-1,3.091727442e-1
8.333333333e-3,3.120058374e-1,3.091074116e-1
1.250000000e-2,3.120658431e-1,3.089823328e-1
1.666666667e-2,3.121553031e-1,3.088155285e-1
2.083333333e-2,3.121082888e-1,3.088948948e-1
2.500000000e-2,3.120724668e-1,3.089726724e-1
2.916666667e-2,3.120440089e-1,3.090264706e-1
3.333333333e-2,3.120230634e-1,3.090666621e-1
3.750000000e-2,3.120307613e-1,3.090673510e-1
4.166666667e-2,3.120413083e-1,3.090739311e-1
4.583333333e-2,3.120506487e-1,3.090779737e-1
5.000000000e-2,3.120666513e-1,3.090853436e-1
5.416666667e-2,3.121052313e-1,3.090599250e-1
5.833333333e-2,3.121608399e-1,3.090414950e-1
6.250000000e-2,3.122433424e-1,3.090177386e-1
6.666666667e-2,3.123590022e-1,3.092848892e-1
7.083333333e-2,3.125164429e-1,3.092472444e-1
7.500000000e-2,3.125984140e-1,3.092221349e-1
7.916666667e-2,3.126555616e-1,3.092003201e-1
8.333333333e-2,3.126939749e-1,3.091894191e-1
8.750000000e-2,3.127218054e-1,3.091603615e-1
9.166666667e-2,3.127491549e-1,3.091324225e-1
9.583333333e-2,3.127786765e-1,3.090972672e-1
1.000000000e-1,3.128152900e-1,3.090552844e-1
1.041666667e-1,3.128418375e-1,3.090260526e-1
1.083333333e-1,3.128766683e-1,3.090014338e-1
1.125000000e-1,3.129183711e-1,3.089744069e-1
1.166666667e-1,3.129681841e-1,3.089503471e-1
1.208333333e-1,3.130459483e-1,3.088714880e-1
1.250000000e-1,3.131794997e-1,3.091404055e-1
1.291666667e-1,3.133363606e-1,3.090969019e-1
1.333333333e-1,3.134310687e-1,3.090591512e-1
1.375000000e-1,3.134780464e-1,3.090258967e-1
1.416666667e-1,3.135300840e-1,3.089966229e-1
1.458333333e-1,3.135854131e-1,3.089489793e-1
1.500000000e-1,3.136618378e-1,3.089071438e-1
1.541666667e-1,3.136988070e-1,3.088643930e-1
1.583333333e-1,3.137368606e-1,3.088423519e-1
1.625000000e-1,3.137726461e-1,3.088073767e-1
1.666666667e-1,3.135145242e-1,3.087920448e-1
1.708333333e-1,3.135466937e-1,3.086813517e-1
1.750000000e-1,3.135915099e-1,3.086297145e-1
1.791666667e-1,3.136308518e-1,3.085857382e-1
1.833333333e-1,3.136697793e-1,3.085532629e-1
1.875000000e-1,3.137727779e-1,3.084879411e-1
1.916666667e-1,3.139437478e-1,3.084417813e-1
1.958333333e-1,3.141133917e-1,3.084805190e-1
2.000000000e-1,3.142450548e-1,3.084289599e-1
2.041666667e-1,3.142810021e-1,3.084130274e-1
2.083333333e-1,3.143147492e-1,3.084002238e-1
2.125000000e-1,3.143398288e-1,3.083883364e-1
2.166666667e-1,3.143732907e-1,3.083796862e-1
2.208333333e-1,3.143862386e-1,3.083693590e-1
2.250000000e-1,3.144139348e-1,3.083589039e-1
2.291666667e-1,3.144376498e-1,3.083497540e-1
2.333333333e-1,3.144636009e-1,3.083405024e-1
2.375000000e-1,3.144993121e-1,3.083112065e-1
2.416666667e-1,3.145438944e-1,3.082863186e-1
2.458333333e-1,3.146067585e-1,3.082485289e-1
2.500000000e-1,3.146725318e-1,3.082092315e-1
2.541666667e-1,3.147968938e-1,3.081475596e-1
2.583333333e-1,3.149706381e-1,3.080734949e-1
2.625000000e-1,3.150909792e-1,3.079566990e-1
2.666666667e-1,3.151694994e-1,3.078069776e-1
2.708333333e-1,3.151767465e-1,3.077754364e-1
2.750000000e-1,3.151863759e-1,3.077603564e-1
2.791666667e-1,3.154986791e-1,3.071893380e-1
2.833333333e-1,3.155021396e-1,3.071913554e-1
2.875000000e-1,3.155021402e-1,3.071913563e-1
2.916666667e-1,3.155021401e-1,3.071913204e-1
2.958333333e-1,3.155021402e-1,3.071913563e-1
3.000000000e-1,3.155021397e-1,3.071913556e-1
3.041666667e-1,3.155125291e-1,3.071923046e-1
3.083333333e-1,3.155302529e-1,3.071935954e-1
3.125000000e-1,3.155549321e-1,3.071954812e-1
3.166666667e-1,3.155875930e-1,3.071981852e-1
3.208333333e-1,3.155875957e-1,3.071981860e-1
3.250000000e-1,3.155875978e-1,3.071981866e-1
3.291666667e-1,3.155875979e-1,3.071981867e-1
3.333333333e-1,3.155875950e-1,3.071981858e-1
3.375000000e-1,3.155869256e-1,3.071980203e-1
3.416666667e-1,3.155872102e-1,3.071981430e-1
3.458333333e-1,3.155873359e-1,3.071981753e-1
3.500000000e-1,3.155960092e-1,3.072044003e-1
3.541666667e-1,3.155954451e-1,3.072039535e-1
3.583333333e-1,3.155954458e-1,3.072039539e-1
3.625000000e-1,3.155954447e-1,3.072039534e-1
3.666666667e-1,3.155958410e-1,3.072041228e-1
3.708333333e-1,3.155958463e-1,3.072041252e-1
3.750000000e-1,3.155958466e-1,3.072041253e-1
3.791666667e-1,3.155958434e-1,3.072041239e-1
3.833333333e-1,3.155958428e-1,3.072041236e-1
