mass_A
t,x,y
0.000000000e0,2.758496651e-1,3.507082804e-1
4.166666667e-3,2.758360234e-1,3.507055336e-1
8.333333333e-3,2.758187334e-1,3.507079956e-1
1.250000000e-2,2.757972275e-1,3.507142303e-1
1.666666667e-2,2.757699922e-1,3.507207588e-1
2.083333333e-2,2.757359624e-1,3.507290227e-1
2.500000000e-2,2.757360736e-1,3.507289340e-1
2.916666667e-2,2.757359388e-1,3.507303818e-1
3.333333333e-2,2.757361746e-1,3.507302939e-1
3.750000000e-2,2.757344732e-1,3.507313998e-1
4.166666667e-2,2.757377526e-1,3.507560786e-1
4.583333333e-2,2.757431272e-1,3.507916257e-1
5.000000000e-2,2.757430170e-1,3.508303887e-1
5.416666667e-2,2.757437083e-1,3.508862541e-1
5.833333333e-2,2.757403460e-1,3.509465070e-1
6.250000000e-2,2.751884533e-1,3.513543890e-1
6.666666667e-2,2.751648221e-1,3.514146482e-1
7.083333333e-2,2.751491161e-1,3.514589367e-1
7.500000000e-2,2.751310787e-1,3.514787767e-1
7.916666667e-2,2.751213440e-1,3.514928567e-1
8.333333333e-2,2.751082796e-1,3.515076603e-1
8.750000000e-2,2.750992504e-1,3.515217776e-1
9.166666667e-2,2.750841783e-1,3.515364251e-1
9.583333333e-2,2.750752271e-1,3.515490781e-1
1.000000000e-1,2.750661870e-1,3.515614054e-1
1.041666667e-1,2.750538501e-1,3.515750451e-1
1.083333333e-1,2.750366004e-1,3.515896987e-1
1.125000000e-1,2.750132547e-1,3.516150625e-1
1.166666667e-1,2.749855274e-1,3.516386609e-1
1.208333333e-1,2.749491627e-1,3.516736304e-1
1.250000000e-1,2.749419574e-1,3.517065458e-1
1.291666667e-1,2.749355768e-1,3.517372640e-1
1.333333333e-1,2.743574802e-1,3.521362996e-1
1.375000000e-1,2.743628656e-1,3.521598358e-1
1.416666667e-1,2.743702004e-1,3.522105009e-1
1.458333333e-1,2.743801624e-1,3.522485661e-1
1.500000000e-1,2.743962989e-1,3.522886959e-1
1.541666667e-1,2.744049344e-1,3.523208879e-1
1.583333333e-1,2.744464992e-1,3.523710204e-1
1.625000000e-1,2.744972743e-1,3.524193261e-1
1.666666667e-1,2.745557425e-1,3.524730282e-1
1.708333333e-1,2.746253850e-1,3.525445257e-1
