Dir,Video,Scale photo,Override specimen,Usable,Track ID,Minimum track length (m),Smoothing,Notes,
lab,3493,3493 (600mmx900mm board),,,,0.4,21,Jumper walking,
lab,3494,3494,,,,0.4,21,Jumper walking,
lab,3495,3495,,,,0.4,21,Jumper walking,
lab,3496,3496,,No,,0.3,21,"Too short (65 frames). Eilica walking, may be best not smoothed",
lab,3497,3497,,,,0.2,11,"Eilica walking, may be better with less smoothing (n = 11?)",
lab,3498,3498,,,,0.5,21,Jumper walking,
lab,3499,3499,,No,,0.1,11,Too short (21 frames). Badumna walking,
lab,3500,3500,,,7,0.1,21,Jumper walking,
lab,3501,3501,,,,0.1,21,Lamponid walking,
lab,3502,3502 (A4 paper),,,,0.2,21,Ants walking,
lab,3503,3503 (A4 paper),,,,0.2,21,Jumper walking,
lab,3504,3504,,,,0.2,21,Mimic walking,
lab,3505,3505,,,,0.2,21,Mimic walking,
lab,3506,3506,,,,0.2,21,Jumper walking,
lab,3507,3507,,,,0.2,21,Jumper walking,
lab,3508,3508,,,,0.2,21,Mimic walking,
lab,3509,3509,,,,0.2,21,Mimic walking,
lab,3510,3510,,,,0.2,21,Mimic walking,
lab,3511,3511,,,,0.2,21,Mimic walking,
lab,3512,3512,,,,0.2,21,Mimic walking,
lab,3513,3513,,,,0.2,21,Mimic walking,
lab,3514,3514,,,,0.2,21,Mimic walking,
lab,3515,3515,,,,0.2,21,Mimic walking,
lab,3516,3516,,,,0.2,21,Jumper walking,
lab,3517,3517,,,,0.2,21,Jumper walking,
lab,3518,3518,,,,0.2,21,Mimic walking,
lab,3519,3519,,,,0.2,21,Jumper walking,
lab,3520,3520 (assumed vial had width 16mm),,,,0.2,21,Mimic walking,
lab,3521,3521,,,,0.2,21,Mimic walking,
lab,3522,3522,,,,0.2,21,Mimic walking,
lab,3523,3523,,,,0.5,21,Mimic walking,
lab,3524,3524,,,,0.2,21,Lamponid walking,
lab,3525,3525,,,,0.2,21,Mimic walking,
lab,3526,3526,,,,0.5,21,Ant walking,
lab,3527,3527 (A4 paper),,,,0.1,21,Zod walking,
lab,3528,3528 (A4),,,,0.03,21,Mimic bug,
lab,3529,3529 (A4),,,,0.03,21,Mimic bug,
lab,3530,3530 (A4),,,,0.1,21,Mimic bug,
lab,3531,3531 (A4),,No,,0.1,21,"Beetle, too slow",
lab,3532,3532 (A4),,,,0.1,21,Beetle,
lab,3533,3533 (A4),,No,,0.1,21,"Mimic bug, noisy path, injured leg?",
lab,3534,3534 (A4),,,,0.1,21,Mimic bug,
lab,3535,3535 (A4),,,,0.1,21,Mimic bug,
lab,3536,3536 (A4),,No,,0.03,21,Too short (49 frames). Mimic bug,
lab,3537,3537 (A4),,,,0.1,21,Mimic,
lab,3538,3538 (A4),,,,0.1,21,Mimic,
lab,3539,3539 (A4),,,,0.1,21,Mimic,
lab,3540,3540 (A4),,,,0.1,21,Mimic,
lab,3541,3541 (A4),,,,0.1,21,Mimic,
lab,3542,3542 (A4),,,,0.1,21,Ant,
lab,3543,3543 (A4),,,,0.1,21,Ant,
lab,3544,3544 (A4),,,,0.1,21,Ant,
lab,3545,3545 (A4),,,,0.1,21,Ant,
lab,3546,3546 (A4),,,,0.1,21,Ant,
lab,3547,3547 (A4),,No,,0.1,21,"Ant, possibly injured",
